impression_code	impression_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	IE	Ireland	1127	383	346989	0	33670	0
1k_5k	1k - 5k	IE	Ireland	1237	490	2480001	496099	48812	6
5k_10k	5k - 10k	IE	Ireland	610	329	2669962	1335114	26907	160
10k_50k	10k - 50k	IE	Ireland	1094	376	16696095	3339285	67994	9081
50k_100k	50k - 100k	IE	Ireland	310	150	5898463	2949261	26526	5905
100k_200k	100k - 200k	IE	Ireland	210	93	7960794	3980417	43335	14126
200k_500k	200k - 500k	IE	Ireland	172	73	9799960	3919992	72415	15574
500k_1m	500k - 1m	IE	Ireland	71	39	9557447	4778728	47925	9680
