recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-17	2019-05-17	LV	Latvia	244	64	958196	305825	4667	180
rd2	Last 2 days	2019-05-16	2019-05-17	LV	Latvia	280	70	2222380	718439	10569	520
rd3	Last 3 days	2019-05-15	2019-05-17	LV	Latvia	292	72	3215480	1049938	14294	808
rd4	Last 4 days	2019-05-14	2019-05-17	LV	Latvia	311	74	4257316	1389778	17662	1096
rd5	Last 5 days	2019-05-13	2019-05-17	LV	Latvia	340	75	5097118	1695140	20574	1366
rd6	Last 6 days	2019-05-12	2019-05-17	LV	Latvia	358	76	5832626	1972931	23223	1641
rw1	Last week	2019-05-11	2019-05-17	LV	Latvia	390	79	6603262	2260664	25963	1916
rw2	Last 2 weeks	2019-05-04	2019-05-17	LV	Latvia	509	104	11068835	4019196	45653	4344
rw3	Last 3 weeks	2019-04-27	2019-05-17	LV	Latvia	686	146	15261086	5493320	66817	7841
rw4	Last 4 weeks	2019-04-20	2019-05-17	LV	Latvia	880	184	16637586	5916093	73435	8690
rm1	Last month	2019-04-18	2019-05-17	LV	Latvia	914	196	17010659	6036070	75265	8810
rm2	Last 2 months	2019-03-19	2019-05-17	LV	Latvia	1780	458	21652468	7605187	95586	10419
rm3	Last 3 months	2019-02-17	2019-05-17	LV	Latvia	2096	520	24215462	8551854	103006	10957
rm6	Last 6 months	2019-01-01	2019-05-17	LV	Latvia	2235	555	24494878	8679073	104035	11099
