spend_code	spend_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_50	0 - 50	UK	United Kingdom	8289	379	29517796	6611699	676952	0
50_100	50 - 100	UK	United Kingdom	8285	376	6347769	1422507	145436	0
100_1k	100 - 1k	UK	United Kingdom	9037	374	54808613	18715228	555984	98288
1k_5k	1k - 5k	UK	United Kingdom	255	43	50531924	22356683	551028	148902
5k_10k	5k - 10k	UK	United Kingdom	111	17	16630955	7354863	219757	46153
10k_50k	10k - 50k	UK	United Kingdom	3	3	2368209	1184106	27401	13702
