advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Европейски парламент в България		163350039852	Facebook	w016	Week 16	BG	Bulgaria	1	1	499999	200000	4999	999
Kialo		729627343834501	Facebook	w016	Week 16	BG	Bulgaria	59	1	328047	125944	1342	248
ПП ГЕРБ - София		336639303182606	Facebook	w016	Week 16	BG	Bulgaria	1	1	214285	85714	190	38
Кеворк Кеворкян		490656127781163	Facebook	w016	Week 16	BG	Bulgaria	1	1	88849	44425	78	0
informo.bg	informo.bg	262524054082832	Facebook	w016	Week 16	BG	Bulgaria	1	1	81284	40642	71	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	w016	Week 16	BG	Bulgaria	28	1	53685	25380	131	36
European Parliament		178362315106	Facebook	w016	Week 16	BG	Bulgaria	9	1	49258	22092	87	8
Arte		656089814494677	Facebook	w016	Week 16	BG	Bulgaria	6	1	48792	20949	118	18
Евро Ферт АД		271746059949890	Facebook	w016	Week 16	BG	Bulgaria	1	1	38599	19299	85	17
Демократична България	Демократична България	995342840629890	Facebook	w016	Week 16	BG	Bulgaria	2	1	36057	7142	347	63
European Greens	European Greens	141366725876424	Facebook	w016	Week 16	BG	Bulgaria	2	1	28250	12855	103	28
Ангел Джамбазки	Войчин Мирчо	139581756144530	Facebook	w016	Week 16	BG	Bulgaria	3	1	23890	9280	169	0
European Youth Event		919232861444360	Facebook	w016	Week 16	BG	Bulgaria	3	1	21549	8779	44	20
Организация за защита на животните "Четири лапи"		144072035778	Facebook	w016	Week 16	BG	Bulgaria	12	1	21210	4026	982	0
Alberto Alemanno		179635265973968	Facebook	w016	Week 16	BG	Bulgaria	2	1	19490	9320	20	0
GEYA   /  ГЕЯ  /		125015671491693	Facebook	w016	Week 16	BG	Bulgaria	1	1	19444	3888	34	0
Венета Маджистрели - раз/ЛИЧНИЯТ избор за Европейски парламент 2019		436121407128896	Facebook	w016	Week 16	BG	Bulgaria	1	1	18181	3636	36	0
Борба за съществуване / Extinction Rebellion Bulgaria		2258761914367373	Facebook	w016	Week 16	BG	Bulgaria	1	1	15072	3014	34	0
Guardian Weekly		64525551258	Facebook	w016	Week 16	BG	Bulgaria	4	1	12693	5127	19	5
Lomovera		134871259892580	Facebook	w016	Week 16	BG	Bulgaria	2	1	10828	4930	193	0
TODOROV-Imoteka Chaika	Todorov Sasho	573501706475405	Facebook	w016	Week 16	BG	Bulgaria	3	1	10377	3439	142	0
The Good Lobby		1420129598280317	Facebook	w016	Week 16	BG	Bulgaria	5	1	10352	3867	20	0
Greens/EFA in the European Parliament		150527751674751	Facebook	w016	Week 16	BG	Bulgaria	2	1	9963	4198	16	3
EU Environment		305608429284	Facebook	w016	Week 16	BG	Bulgaria	2	1	9305	4482	44	8
Bright Life Today		806186806171908	Facebook	w016	Week 16	BG	Bulgaria	1	1	9150	1830	16	0
