impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
5k_10k	5k - 10k	HR	Croatia	Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	15	1	149984	74999	1332	0
5k_10k	5k - 10k	HR	Croatia	Ruža Tomašić		1434305366791182	Facebook	8	1	79992	39999	781	0
5k_10k	5k - 10k	HR	Croatia	MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	8	1	79991	39999	704	0
5k_10k	5k - 10k	HR	Croatia	Valter Flego	Valter Flego	441675022557503	Facebook	8	1	79967	39987	704	0
5k_10k	5k - 10k	HR	Croatia	Nikolina Brnjac	HDZ - Hrvatska demokratska zajednica	287054392229717	Facebook	7	1	69993	35000	682	0
5k_10k	5k - 10k	HR	Croatia	Nova ljevica	Markovina Dragan	706769699498076	Facebook	5	1	49995	25000	440	0
5k_10k	5k - 10k	HR	Croatia	Jozo Radoš	Jozo Radoš	446717938731095	Facebook	5	1	49994	24999	462	0
5k_10k	5k - 10k	HR	Croatia	Željana Zovko		1203134436474667	Facebook	5	1	43570	21787	383	0
5k_10k	5k - 10k	HR	Croatia	Ivana Nikolić Popović	Nikolić Popović Ivana	160505204050427	Facebook	4	1	39996	20000	363	0
5k_10k	5k - 10k	HR	Croatia	Stjepan Ribić	HDZ - Hrvatska demokratska zajednica	451335681696047	Facebook	4	1	39996	20000	363	0
5k_10k	5k - 10k	HR	Croatia	SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	4	1	39996	20000	352	0
5k_10k	5k - 10k	HR	Croatia	Tomislav Stojak		442201595870855	Facebook	4	1	39995	20000	352	0
5k_10k	5k - 10k	HR	Croatia	HKS - Hrvatska konzervativna stranka	HKS - Hrvatska konzervativna stranka	789855157727222	Facebook	4	1	39995	19999	352	0
5k_10k	5k - 10k	HR	Croatia	Faktograf.hr	Faktograf.hr	1487935214842281	Facebook	4	1	39995	19999	352	0
5k_10k	5k - 10k	HR	Croatia	Gong	Gong	135611546456409	Facebook	4	1	39994	19999	352	0
5k_10k	5k - 10k	HR	Croatia	Građani za Mislava Kolakušića	Kolakusic Mislav	374159272978399	Facebook	3	1	29997	15000	297	0
5k_10k	5k - 10k	HR	Croatia	Medjimurje.info	Taradi Gorkic	948966671820077	Facebook	3	1	29970	14986	264	0
5k_10k	5k - 10k	HR	Croatia	Greenpeace Hrvatska	Greenpeace Hrvatska	359170097532754	Facebook	2	1	19998	10000	176	0
5k_10k	5k - 10k	HR	Croatia	Saša Poljanec-Borić	Hrvatska socijalno liberalna stranka	1914254365351413	Facebook	2	1	19998	10000	176	0
5k_10k	5k - 10k	HR	Croatia	Predrag Mišić	HKS - Hrvatska konzervativna stranka	301664597159836	Facebook	2	1	19998	10000	176	0
5k_10k	5k - 10k	HR	Croatia	Marijana Balić	HDZ - Hrvatska demokratska zajednica	1274752085892321	Facebook	2	1	19998	10000	176	0
5k_10k	5k - 10k	HR	Croatia	Sanja Radolović		508755779649081	Facebook	2	1	19998	10000	198	0
5k_10k	5k - 10k	HR	Croatia	Nenad Matić - Zelena lista		157025101623973	Facebook	2	1	19998	10000	176	0
5k_10k	5k - 10k	HR	Croatia	European Parliament		178362315106	Facebook	2	1	19997	9999	197	0
5k_10k	5k - 10k	HR	Croatia	Europski parlament, Ured za informiranje u Republici Hrvatskoj	Europski parlament, Ured za informiranje u Republici Hrvatskoj	508795765833382	Facebook	2	1	19997	9999	176	0
