advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partido Popular	Partido Popular	72249031214	Facebook	f45_54	female (45-54)	2426	1	14161484	4299966	114426	9079
European Parliament		178362315106	Facebook	f45_54	female (45-54)	1163	1	12218603	5436369	70347	17300
Podemos	Unidas Podemos	269212336568846	Facebook	f45_54	female (45-54)	302	1	10349946	4569303	65508	17115
Ciudadanos	Ciudadanos	74078667754	Facebook	f45_54	female (45-54)	4183	1	10317470	3176820	93159	7996
People's Vote UK	People's Vote	748608695327755	Facebook	f45_54	female (45-54)	3336	1	7695280	2592870	109254	19437
Britain's Future	Britain's Future	1625300137516491	Facebook	f45_54	female (45-54)	3880	1	7000519	2147823	86980	12968
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	f45_54	female (45-54)	232	1	5583019	2505926	14842	3323
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	f45_54	female (45-54)	93	1	4164788	1919074	10475	3058
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	f45_54	female (45-54)	2316	1	4002908	1321498	52485	5443
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	f45_54	female (45-54)	371	1	3983163	1538230	22764	4249
The Labour Party	The Labour Party	25749647410	Facebook	f45_54	female (45-54)	629	1	3937606	1583949	33593	7551
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f45_54	female (45-54)	2002	1	3853942	1270617	63254	7933
sp.a	sp.a	57253967150	Facebook	f45_54	female (45-54)	295	1	3703007	1473195	17626	4108
Best For Britain	Best for Britain	1863944713844924	Facebook	f45_54	female (45-54)	751	1	3268821	1382394	44812	10836
Conservatives	The Conservative Party	8807334278	Facebook	f45_54	female (45-54)	1467	1	3248184	1319431	36661	4990
Greenpeace France		39435457457	Facebook	f45_54	female (45-54)	123	1	3118509	1426640	16776	3851
Kialo		729627343834501	Facebook	f45_54	female (45-54)	800	1	3064661	1233887	22628	5776
Partito Democratico		77034286895	Facebook	f45_54	female (45-54)	190	1	2789691	1248270	9562	2485
FDP	FDP	21289227249	Facebook	f45_54	female (45-54)	1908	1	2780274	821449	23794	1450
38 Degrees	38 Degrees	200006375787	Facebook	f45_54	female (45-54)	647	1	2776672	1020748	18405	2771
SPD	SPD	47930567748	Facebook	f45_54	female (45-54)	4614	1	2759299	809622	59550	2616
CDU	CDU	78502295414	Facebook	f45_54	female (45-54)	3169	1	2585945	631125	26072	579
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	f45_54	female (45-54)	145	1	2512805	1068822	4416	1120
România în primul rând	Future Innovation	770704223323599	Facebook	f45_54	female (45-54)	83	1	2405601	1053698	2208	581
Plan International Sverige		382243262003	Facebook	f45_54	female (45-54)	355	1	2399422	780841	21273	5161
