country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
BE	Belgium	sp.a	sp.a	57253967150	Facebook	422	1	41338540	16503984	195277	42099
BE	Belgium	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	118	1	28187631	11692896	85579	22298
BE	Belgium	Vlaams Belang	Vlaams Belang	56605856504	Facebook	66	1	26125934	12008000	176934	39199
BE	Belgium	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	106	1	22984854	9864983	203593	46899
BE	Belgium	European Parliament		178362315106	Facebook	174	1	17380399	7433002	118372	25712
BE	Belgium	CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	114	1	11643963	5531538	45181	9299
BE	Belgium	Open Vld	Open Vld	53668151866	Facebook	346	1	10265006	3725823	80749	13699
BE	Belgium	Sign for my Future		1345513882259768	Facebook	75	1	8702926	3652000	64225	14600
BE	Belgium	Groen	Groen	84920854319	Facebook	180	1	7670066	2706422	37206	5399
BE	Belgium	Peter Mertens	PVDA	236485149843971	Facebook	573	1	7064036	2054048	84329	8287
BE	Belgium	John Crombez	sp.a	264131406977201	Facebook	85	1	6938914	2755999	41414	8299
BE	Belgium	Facebook Brussels	Facebook	287739491272583	Facebook	16	1	6549984	2830000	63484	16300
BE	Belgium	Vlaams Belang Brussel	Vlaams Belang	499682940133305	Facebook	79	1	5814901	2374996	112820	25499
BE	Belgium	VB - nos gens d'abord	Vlaams Belang	816130908786112	Facebook	131	1	4951784	1765978	57166	12899
BE	Belgium	IKEA	IKEA	112961202185776	Facebook	78	1	4840907	1800993	18421	3499
BE	Belgium	Wacky Politicians	Ladbrokes Belgium	325449998160769	Facebook	87	1	4241912	1638999	11013	600
BE	Belgium	Parti Socialiste (PS)	Parti Socialiste (PS)	518402351504731	Facebook	107	1	4231193	1375497	27378	4797
BE	Belgium	DéFI	DéFI	173518112695794	Facebook	149	1	3880629	951943	22849	2299
BE	Belgium	Kialo		729627343834501	Facebook	372	1	3480331	1365598	26446	5874
BE	Belgium	Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	14	1	3049818	1329962	15484	5499
BE	Belgium	CD&V	CD&V	52997544531	Facebook	101	1	2594894	805997	18898	2500
BE	Belgium	Tout sur le nucléaire / Alles over kernenergie		585236024850280	Facebook	13	1	2404966	990992	11586	2899
BE	Belgium	European Greens	European Greens	141366725876424	Facebook	23	1	2332962	1015291	15261	3821
BE	Belgium	Party of European Socialists	Party of European Socialists	148097975226385	Facebook	95	1	1972310	622813	6555	325
BE	Belgium	Mutualité chrétienne (MC)	Mutualité chrétienne (MC)	180233078762668	Facebook	61	1	1779938	533999	9838	1499
BE	Belgium	MR - Mouvement Réformateur	MR - Mouvement Réformateur	236330169511	Facebook	46	1	1546747	461397	12136	1897
BE	Belgium	Maurits Vande Reyde	Vande Reyde Maurits Jozef	1797427180478228	Facebook	83	1	1525917	437000	10617	600
BE	Belgium	Jan Jambon	Nieuw-Vlaamse Alliantie	60317812912	Facebook	5	1	1449995	610000	12095	3000
BE	Belgium	Kathleen Van Brempt	Kathleen Van Brempt	206193139504506	Facebook	131	1	1379813	307988	14968	500
BE	Belgium	Greenpeace Belgium		73232790238	Facebook	84	1	1353884	484990	13915	1399
BE	Belgium	Brecht Warnez	Warnez Brecht Luc T	998887823550443	Facebook	142	1	1221858	337000	14458	100
BE	Belgium	sp.a West-Vlaanderen	sp.a West-Vlaanderen	269157793205215	Facebook	29	1	1220507	477907	5370	900
BE	Belgium	Johan Van Overtveldt		275607285891320	Facebook	13	1	1095987	451000	8287	1800
BE	Belgium	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	53	1	1059460	414032	4805	912
BE	Belgium	ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	84	1	1042676	306233	4729	480
BE	Belgium	European Youth Forum		80161254850	Facebook	2	1	1002616	499809	5086	997
BE	Belgium	Bart De Wever		24079407056	Facebook	2	1	999998	400000	9998	2000
BE	Belgium	CD&V Limburg	CD&V Limburg	495564387205601	Facebook	23	1	979849	228974	7875	1399
BE	Belgium	UNICEF Belgium	UNICEF Belgium	60589646095	Facebook	17	1	929982	368999	5682	999
BE	Belgium	Conner Rousseau	Conner Rousseau	942750852588816	Facebook	31	1	929912	202988	7968	1499
BE	Belgium	Joris Vandenbroucke	Vandenbroucke Joris Jeroen J	984867054996076	Facebook	15	1	895936	370981	4284	700
BE	Belgium	Unis pour les Droits Humains		1642871805813802	Facebook	17	1	848969	365536	797	28
BE	Belgium	Le racisme, vous valez mieux que ça		1858720887787052	Facebook	5	1	809995	325000	2595	800
BE	Belgium	L'OCCITANE en Provence		161197393938517	Facebook	5	1	804991	320998	2694	1099
BE	Belgium	Thuisverpleging		372390586890911	Facebook	9	1	769834	318762	1285	99
BE	Belgium	Gelijke kansen - Egalité des chances		1757055917947545	Facebook	92	1	758903	199999	9107	0
BE	Belgium	Marc Lejeune - 3ème au CDH à la Région	Marc Jean-Marie P Lejeune	1115141181990895	Facebook	161	1	739582	139946	16336	99
BE	Belgium	Marie Arena		109149719130331	Facebook	21	1	700975	226999	2478	100
BE	Belgium	Cheops		1114045328715740	Facebook	2	1	699998	300000	1998	1000
BE	Belgium	Sander Loones	Nieuw-Vlaamse Alliantie	575160279283539	Facebook	15	1	656984	160999	4784	1099
BE	Belgium	Jos D'Haese	PVDA	1397002987227704	Facebook	74	1	617291	118877	10116	699
BE	Belgium	Solvari België		118790941561498	Facebook	6	1	614988	222997	6293	1199
BE	Belgium	Geert Bourgeois	Nieuw-Vlaamse Alliantie	649429725077632	Facebook	11	1	611989	242000	4989	1800
BE	Belgium	Klang der Solidarität		385076005313967	Facebook	50	1	597209	208700	1254	76
BE	Belgium	Hans Maes		1181238155301995	Facebook	38	1	576520	149711	4947	297
BE	Belgium	ExxonMobil		925007000949719	Facebook	26	1	567971	122001	4519	623
BE	Belgium	The Bamboo Brush Society		1152885191422950	Facebook	41	1	565205	188572	4263	623
BE	Belgium	Kim De Witte	PVDA	315662412174661	Facebook	12	1	554308	140562	5172	997
BE	Belgium	Theo Francken		483497581789280	Facebook	7	1	550991	229999	3092	599
BE	Belgium	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	55	1	550098	192378	3330	542
BE	Belgium	Manu Diericx	Diericx Manu Romain C	311729416012864	Facebook	16	1	549983	200000	2384	200
BE	Belgium	Salsa Rica Dance Company		727875134045965	Facebook	2	1	549653	209867	997	199
BE	Belgium	Sabine de Bethune		254157758598438	Facebook	12	1	535987	175999	2387	299
BE	Belgium	Kris Peeters	Kris Peeters	192181027566488	Facebook	14	1	520986	134000	2986	400
BE	Belgium	WWF-Belgium	WWF-Belgium	110844205773	Facebook	25	1	500968	192998	3274	199
BE	Belgium	UNHCR Belgium		948453825344452	Facebook	1	1	499999	200000	4999	1000
BE	Belgium	Vluchtelingenwerk Vlaanderen		81497097451	Facebook	7	1	499933	189988	692	0
BE	Belgium	Zuhal Demir	Nieuw-Vlaamse Alliantie	453932394796444	Facebook	13	1	489980	136996	1686	100
BE	Belgium	Fight For €14 - NL		296330127745778	Facebook	23	1	489977	144999	2277	0
BE	Belgium	Jan Cornillie		980619838787000	Facebook	21	1	475963	181996	3049	289
BE	Belgium	one brussels	one.brussels	244157445635331	Facebook	17	1	465983	108000	2883	300
BE	Belgium	Michael Freilich - 5de plaats Kamer		609777409464271	Facebook	11	1	465957	125989	3888	699
BE	Belgium	JONG CD&V	JONG CD&V	638247042856542	Facebook	8	1	449992	120000	1592	199
BE	Belgium	Christian Leysen	Christian Leysen	403864600161608	Facebook	13	1	445730	157895	8967	1698
BE	Belgium	MBRC		1853495178284518	Facebook	26	1	429399	101171	3719	462
BE	Belgium	Smart Solutions Qualified people for you		401154619963846	Facebook	3	1	404997	201000	6097	1500
BE	Belgium	Sofian El Sayd - 61e sur la liste régionale du PS bruxellois		1951525111537961	Facebook	4	1	399992	169998	1064	178
BE	Belgium	Meyrem Almaci	Meyrem Almaci	1943402032590802	Facebook	12	1	391987	119999	2388	300
BE	Belgium	FullUp		160098407696881	Facebook	70	1	384929	93999	8129	299
BE	Belgium	PTB	PTB	53838654385	Facebook	7	1	375993	171000	1493	200
BE	Belgium	Hugues Bayet	Julien Fanuel 	538840262914740	Facebook	8	1	364992	106000	1192	100
BE	Belgium	Koen Geens	CD&V	294055357407926	Facebook	36	1	360963	102000	3964	100
BE	Belgium	Bert Maertens	N-VA	230657213955622	Facebook	14	1	351986	109000	2186	200
BE	Belgium	ProDG	ProDG	89846075866	Facebook	39	1	347936	100539	4649	199
BE	Belgium	sp.a Limburg	sp.a Limburg	885074558184212	Facebook	22	1	335978	97000	2578	100
BE	Belgium	Les Wallons ne manquent pas d'air		559852030865205	Facebook	21	1	319978	84999	2078	0
BE	Belgium	Shopwala Europe		393367314768104	Facebook	12	1	314987	107999	2926	712
BE	Belgium	Hendrik Bogaert	Bogaert Hendrik Frank	277636928983663	Facebook	52	1	307910	64996	5945	200
BE	Belgium	Vincent De Wolf	Vincent Gilles De Wolf	399983396831282	Facebook	16	1	305984	64000	1984	100
BE	Belgium	Elias Kartout	Nieuw-Vlaamse Alliantie	2593268540690171	Facebook	4	1	300996	120000	1596	300
BE	Belgium	vdk bank		185648231502494	Facebook	3	1	299997	120000	1497	300
BE	Belgium	Europahuis Ryckevelde	Ryckevelde vzw	119449038070827	Facebook	6	1	299774	59956	993	99
BE	Belgium	Anja Vanrobaeys	Vanrobaeys Anja Maurits	795798820785493	Facebook	34	1	289940	70993	4565	299
BE	Belgium	Le Lombard		49864931287	Facebook	2	1	287961	143981	962	192
BE	Belgium	Vrouw & Maatschappij - CD&V politica	Vrouw & Maatschappij	268844173157989	Facebook	12	1	286988	90000	1188	0
BE	Belgium	Linda Lauwers -  18de plaats Kamer N-VA	Meeus Yannick	700417286687969	Facebook	38	1	286326	103682	3755	0
BE	Belgium	Ralph Packet		2009966045768110	Facebook	14	1	276985	75999	1785	100
BE	Belgium	Maggie De Block	Maggie De Block	1410219772556421	Facebook	22	1	270847	82999	2565	100
BE	Belgium	350.org		12185972707	Facebook	32	1	269029	68838	1789	257
BE	Belgium	Chroniques Du Golfe		2196850910357980	Facebook	23	1	262813	97887	644	0
