country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HR	Croatia	w019	Week 19	513	118	12565652	4119687	37351	2635
HR	Croatia	w018	Week 18	497	128	9863402	3865973	30469	3816
HR	Croatia	w017	Week 17	409	120	5340131	2153066	20435	3121
HR	Croatia	w016	Week 16	388	148	1184299	387772	4766	262
HR	Croatia	w015	Week 15	546	218	2265630	859784	7776	726
HR	Croatia	w014	Week 14	458	220	1612458	610094	6179	907
HR	Croatia	w013	Week 13	337	172	966489	371715	3404	302
HR	Croatia	w012	Week 12	313	162	1761952	648450	6116	399
HR	Croatia	w011	Week 11	190	92	963461	382797	3621	558
HR	Croatia	w010	Week 10	239	83	1010856	414466	3663	277
