advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Csoma Botond	Div ads	1305418182809740	Facebook	m	male	RO	Romania	6	1	17112	6993	52	0
ETUC		129041250601685	Facebook	m	male	RO	Romania	1	1	16983	3396	169	33
Tractari  Auto Oradea-Intern-International Rga Speed Trans	RAZAILA ADRIAN-COSMIN	116323535162294	Facebook	m	male	RO	Romania	5	1	16915	5320	83	0
Oláh Emese	Div ads	309748249443745	Facebook	m	male	RO	Romania	7	1	13989	2703	66	0
Christ4ro News		33424557041	Facebook	m	male	RO	Romania	2	1	12647	6324	111	0
HC Caras Severin	Reper24h	1435968400019830	Facebook	m	male	RO	Romania	2	1	12032	6016	25	0
Cristian Seidler		150955332037774	Facebook	m	male	RO	Romania	2	1	10857	5429	22	0
PNL IASI	Future Innovation 	185088338177066	Facebook	m	male	RO	Romania	3	1	9386	3318	29	0
Europe Thinx		335839580440114	Facebook	m	male	RO	Romania	1	1	9143	1828	16	0
Liviu Brătescu	Liviu Brătescu	209399519151264	Facebook	m	male	RO	Romania	2	1	8649	3156	26	0
Takacs Zoltan	Takacs Zoltan	1827240594259659	Facebook	m	male	RO	Romania	3	1	8088	1618	33	0
Socioblog.ro	ZODIAN ALEXANDRU-SERBAN	815735411826201	Facebook	m	male	RO	Romania	1	1	7423	3711	15	0
EuroJobs Romania		1850976141839208	Facebook	m	male	RO	Romania	1	1	7024	3512	14	0
Transindex.ro	Transindex.ro	306375751406	Facebook	m	male	RO	Romania	3	1	6429	1286	26	0
UNPR Sector 6		1499561713619805	Facebook	m	male	RO	Romania	1	1	6047	3024	63	12
Marius Cătană		551469802041894	Facebook	m	male	RO	Romania	1	1	5911	2956	12	0
Plictisescu.ro		184028071751540	Facebook	m	male	RO	Romania	1	1	5906	2953	12	0
CRIF		395919323779707	Facebook	m	male	RO	Romania	1	1	5897	2948	29	5
Organizația de Tineret - PMP Cluj	Partidul Miscarea Populara	1707460365989111	Facebook	m	male	RO	Romania	7	1	5825	519	78	0
Cristina Prună	PRUNA CRISTINA-MADALINA	281341562263123	Facebook	m	male	RO	Romania	2	1	5230	890	34	0
Alin Vandici		2570007979695010	Facebook	m	male	RO	Romania	2	1	5199	1040	21	0
USR Berzunți	PANTIRU SORIN-MIHAI	1179862085498279	Facebook	m	male	RO	Romania	1	1	5028	2514	10	0
Idei Si Bani	Sulica Dan	846776282039866	Facebook	m	male	RO	Romania	1	1	4998	999	20	0
Forum Cogitorium	Zsombor Ferencz	1039582286103020	Facebook	m	male	RO	Romania	3	1	4771	733	38	0
George Țăranu		2169633483295076	Facebook	m	male	RO	Romania	1	1	4396	2198	9	0
Dc 360		321073368705699	Facebook	m	male	RO	Romania	1	1	4384	877	18	0
Răzvan Timofciuc		635598146635199	Facebook	m	male	RO	Romania	1	1	4377	875	18	0
Vulpoi & Toader Management		167698206624402	Facebook	m	male	RO	Romania	1	1	4282	856	75	0
ALDE Comuna Măgura BACĂU	Partidul Alianța Liberalilor și Democraților – ALDE	1405871476179141	Facebook	m	male	RO	Romania	1	1	4114	2057	8	0
Mihai Tămaș	Tamas Mihai-Dan	126158454726160	Facebook	m	male	RO	Romania	2	1	4078	815	16	0
Marinela V. Ardelean		346137638884956	Facebook	m	male	RO	Romania	1	1	3799	760	15	0
Un colt de suflet		1446870045551264	Facebook	m	male	RO	Romania	2	1	3775	646	24	0
Giurgiu-acid.ro		1938045996436420	Facebook	m	male	RO	Romania	3	1	3731	509	121	0
USR Buzău		1140510482748359	Facebook	m	male	RO	Romania	1	1	3654	730	15	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	m	male	RO	Romania	1	1	3602	1801	8	1
