recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-26	2019-05-26	SK	Slovakia	364	102	431099	137948	9709	508
rd2	Last 2 days	2019-05-25	2019-05-26	SK	Slovakia	822	124	2755641	923617	35271	2266
rd3	Last 3 days	2019-05-24	2019-05-26	SK	Slovakia	859	138	5092912	1702380	60677	3829
rd4	Last 4 days	2019-05-23	2019-05-26	SK	Slovakia	945	155	7769054	2606040	86622	5466
rd5	Last 5 days	2019-05-22	2019-05-26	SK	Slovakia	3606	232	22674346	7495060	251874	21410
rd6	Last 6 days	2019-05-21	2019-05-26	SK	Slovakia	4414	233	36689186	12047378	420684	35780
rw1	Last week	2019-05-20	2019-05-26	SK	Slovakia	4768	236	48023866	15602369	555629	46093
rw2	Last 2 weeks	2019-05-13	2019-05-26	SK	Slovakia	5003	237	60446440	19504596	688388	55854
rw3	Last 3 weeks	2019-05-06	2019-05-26	SK	Slovakia	5003	237	60521439	19542096	688575	55891
rw4	Last 4 weeks	2019-04-29	2019-05-26	SK	Slovakia	5003	237	60521439	19542096	688575	55891
rm1	Last month	2019-04-27	2019-05-26	SK	Slovakia	5003	237	60521439	19542096	688575	55891
rm2	Last 2 months	2019-03-28	2019-05-26	SK	Slovakia	5003	237	60521439	19542096	688575	55891
rm3	Last 3 months	2019-02-26	2019-05-26	SK	Slovakia	5003	237	60521439	19542096	688575	55891
rm6	Last 6 months	2019-01-01	2019-05-26	SK	Slovakia	5003	237	60521439	19542096	688575	55891
