country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
LT	Lithuania	vilnius_county	Vilnius County	2440	589	5139497	1598525	23558	1855
LT	Lithuania	kaunas_county	Kaunas County	2181	523	1772395	609876	8468	731
LT	Lithuania	klaipeda_county	Klaipėda County	1931	451	921920	267633	4144	222
LT	Lithuania	siauliai_county	Šiauliai County	1778	428	527978	202471	2970	202
LT	Lithuania	panevezys_county	Panevėžys County	1675	393	321379	110208	911	102
LT	Lithuania	utena_county	Utena County	1520	348	221802	59382	664	24
LT	Lithuania	alytus_county	Alytus County	1541	349	221682	68155	623	42
LT	Lithuania	marijampole_county	Marijampolė County	1532	349	204527	89012	594	42
LT	Lithuania	telsiai_county	Telšiai County	1539	363	160570	62556	716	53
LT	Lithuania	taurage_county	Tauragė County	1412	318	71097	28608	287	21
