audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	IT	Italy	12518	4064	36006166	13285258	174913	18515
m18_24	male (18-24)	IT	Italy	10827	3628	32162798	12134828	135747	13515
m45_54	male (45-54)	IT	Italy	12310	3940	30329368	10629810	175214	17180
f55_64	female (55-64)	IT	Italy	11650	3792	29051551	10495760	174073	17930
m35_44	male (35-44)	IT	Italy	12682	4048	27611614	9848817	153231	15313
f45_54	female (45-54)	IT	Italy	12749	4010	27414319	9863768	163802	17678
m55_64	male (55-64)	IT	Italy	11265	3737	26466995	9244852	154167	14606
f18_24	female (18-24)	IT	Italy	11057	3665	26314142	10133089	104720	11058
f25_34	female (25-34)	IT	Italy	12812	4099	25095773	9485824	119712	14245
f35_44	female (35-44)	IT	Italy	13067	4098	21640077	7956220	121952	13965
f65_	female (65+)	IT	Italy	10229	3377	20667261	7378303	127596	12366
m65_	male (65+)	IT	Italy	9892	3344	19497905	6743903	118643	10875
f13_17	female (13-17)	IT	Italy	1484	630	3322884	1215791	10283	464
m13_17	male (13-17)	IT	Italy	1481	625	3302522	1207622	12495	534
u35_44	unknown (35-44)	IT	Italy	8876	3091	274601	99699	1605	177
u25_34	unknown (25-34)	IT	Italy	7676	2776	224649	83808	1152	138
u45_54	unknown (45-54)	IT	Italy	8145	2906	174931	62493	1095	119
u55_64	unknown (55-64)	IT	Italy	6320	2401	95157	33787	599	62
u65_	unknown (65+)	IT	Italy	5735	2220	89798	31437	562	57
u18_24	unknown (18-24)	IT	Italy	4921	1878	88614	32477	447	45
u13_17	unknown (13-17)	IT	Italy	723	359	12297	4438	45	1
