recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-16	2019-05-16	BG	Bulgaria	272	77	1406915	477469	4185	218
rd2	Last 2 days	2019-05-15	2019-05-16	BG	Bulgaria	299	84	2973973	996854	9116	472
rd3	Last 3 days	2019-05-14	2019-05-16	BG	Bulgaria	329	89	5089662	1768203	14260	851
rd4	Last 4 days	2019-05-13	2019-05-16	BG	Bulgaria	361	93	6501385	2275987	18327	1151
rd5	Last 5 days	2019-05-12	2019-05-16	BG	Bulgaria	422	96	7850191	2747684	22152	1422
rd6	Last 6 days	2019-05-11	2019-05-16	BG	Bulgaria	460	98	9199771	3216772	25297	1666
rw1	Last week	2019-05-10	2019-05-16	BG	Bulgaria	496	101	10546863	3673462	29758	1958
rw2	Last 2 weeks	2019-05-03	2019-05-16	BG	Bulgaria	674	145	14817851	5171644	44530	2823
rw3	Last 3 weeks	2019-04-26	2019-05-16	BG	Bulgaria	876	193	18471409	6694581	54863	4742
rw4	Last 4 weeks	2019-04-19	2019-05-16	BG	Bulgaria	1033	238	20283040	7374283	62643	5916
rm1	Last month	2019-04-17	2019-05-16	BG	Bulgaria	1059	253	20681377	7529097	65309	6299
rm2	Last 2 months	2019-03-18	2019-05-16	BG	Bulgaria	2120	594	32316720	12304439	101841	12394
rm3	Last 3 months	2019-02-16	2019-05-16	BG	Bulgaria	2400	668	33878748	12944672	107609	13407
rm6	Last 6 months	2019-01-01	2019-05-16	BG	Bulgaria	2531	707	34338016	13125992	109121	13539
