country_code_filter	country_name_filter	gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SI	Slovenia	f	female	2526	615	8229624	3028064	44358	5366
SI	Slovenia	m	male	2367	601	10237173	3552972	54089	6060
SI	Slovenia	u	unknown	2232	565	145739	52325	798	98
