country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
PL	Poland	masovian_voivodeship	Masovian Voivodeship	5083	1166	22597514	7774094	93212	19068
PL	Poland	silesian_voivodeship	Silesian Voivodeship	4263	1042	11463345	3831560	29376	4954
PL	Poland	lublin_voivodeship	Lublin Voivodeship	3631	872	7298288	2658112	17625	3275
PL	Poland	kuyavian_pomeranian_voivodeship	Kuyavian-Pomeranian Voivodeship	3734	906	5609923	1810797	16896	2858
PL	Poland	lodz_voivodeship	Łódź Voivodeship	3970	961	5392056	1677046	13816	2112
PL	Poland	pomeranian_voivodeship	Pomeranian Voivodeship	3910	965	5339908	1738468	15643	2749
PL	Poland	greater_poland_voivodeship	Greater Poland Voivodeship	4127	1010	5266547	1829320	14091	2326
PL	Poland	lesser_poland_voivodeship	Lesser Poland Voivodeship	4221	1053	4362991	1478062	14537	2230
PL	Poland	lower_silesian_voivodeship	Lower Silesian Voivodeship	4132	1051	4359312	1424527	14221	2322
PL	Poland	west_pomeranian_voivodeship	West Pomeranian Voivodeship	3668	900	2735977	813945	10854	1633
PL	Poland	warmian_masurian_voivodeship	Warmian-Masurian Voivodeship	3407	817	1953026	610573	4472	874
PL	Poland	podkarpackie_voivodeship	Podkarpackie Voivodeship	3382	845	1758003	592622	4360	611
PL	Poland	podlaskie_voivodeship	Podlaskie Voivodeship	3297	804	1299322	414244	3290	500
PL	Poland	swietokrzyskie_voivodeship	Świętokrzyskie Voivodeship	3277	775	1060785	300007	2923	453
PL	Poland	lubusz_voivodeship	Lubusz Voivodeship	3328	842	794520	223793	2627	390
PL	Poland	opole_voivodeship	Opole Voivodeship	3369	817	606479	145850	1816	191
