week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-15	LT	Lithuania	323	58	3130869	1153699	13546	737
w019	Week 19	2019-05-06	2019-05-12	LT	Lithuania	480	78	12130699	4489553	37196	4103
w018	Week 18	2019-04-29	2019-05-05	LT	Lithuania	437	102	10779585	4157787	40683	6420
w017	Week 17	2019-04-22	2019-04-28	LT	Lithuania	363	96	3575842	1536197	12090	2133
w016	Week 16	2019-04-15	2019-04-21	LT	Lithuania	394	116	1546107	620111	3630	529
w015	Week 15	2019-04-08	2019-04-14	LT	Lithuania	535	186	1339295	446517	6330	585
w014	Week 14	2019-04-01	2019-04-07	LT	Lithuania	460	193	1212911	424796	6471	676
w013	Week 13	2019-03-25	2019-03-31	LT	Lithuania	370	172	2099715	781366	7142	1530
w012	Week 12	2019-03-18	2019-03-24	LT	Lithuania	351	157	2777828	1046335	11409	1593
w011	Week 11	2019-03-11	2019-03-17	LT	Lithuania	206	91	653606	251105	3798	346
w010	Week 10	2019-03-04	2019-03-10	LT	Lithuania	200	73	482185	199330	2471	171
w009	Week 9	2019-02-25	2019-03-03	LT	Lithuania	102	49	215598	65970	729	13
w008	Week 8	2019-02-18	2019-02-24	LT	Lithuania	90	46	204550	81212	818	68
w007	Week 7	2019-02-11	2019-02-17	LT	Lithuania	69	39	92886	22335	681	9
w006	Week 6	2019-02-04	2019-02-10	LT	Lithuania	49	26	110403	37790	450	68
w005	Week 5	2019-01-28	2019-02-03	LT	Lithuania	61	25	99563	21778	235	5
w004	Week 4	2019-01-21	2019-01-27	LT	Lithuania	52	23	97638	25787	421	2
w003	Week 3	2019-01-14	2019-01-20	LT	Lithuania	74	24	241954	74122	1685	122
w002	Week 2	2019-01-07	2019-01-13	LT	Lithuania	62	21	402947	87405	2437	203
w001	Week 1	2019-01-01	2019-01-06	LT	Lithuania	40	14	393613	114211	1054	44
