audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m18_24	male (18-24)	LT	Lithuania	2117	555	5167891	1947674	20266	3068
m25_34	male (25-34)	LT	Lithuania	2393	616	4884366	1772960	20205	2880
f18_24	female (18-24)	LT	Lithuania	2226	559	4632515	1803844	17475	2603
f45_54	female (45-54)	LT	Lithuania	2457	581	4252508	1633412	14793	1907
f35_44	female (35-44)	LT	Lithuania	2538	607	4170215	1638501	14369	2175
m35_44	male (35-44)	LT	Lithuania	2388	602	3658358	1412470	12965	1956
f55_64	female (55-64)	LT	Lithuania	1846	539	3630127	1309078	13509	1129
f25_34	female (25-34)	LT	Lithuania	2538	620	3408493	1265392	14806	2066
m45_54	male (45-54)	LT	Lithuania	2297	569	2321402	864558	8579	1073
f65_	female (65+)	LT	Lithuania	1620	479	1659299	575023	7097	506
m55_64	male (55-64)	LT	Lithuania	1734	530	1185816	415859	4283	344
m65_	male (65+)	LT	Lithuania	1539	472	541691	189742	2181	165
f13_17	female (13-17)	LT	Lithuania	251	92	146358	60219	395	45
m13_17	male (13-17)	LT	Lithuania	234	87	132229	52696	453	60
u35_44	unknown (35-44)	LT	Lithuania	2094	530	51464	19031	214	30
u25_34	unknown (25-34)	LT	Lithuania	2004	525	32542	11622	154	22
u45_54	unknown (45-54)	LT	Lithuania	1825	483	13782	4981	64	8
u18_24	unknown (18-24)	LT	Lithuania	1537	419	10308	3842	50	7
u55_64	unknown (55-64)	LT	Lithuania	1241	429	6101	2114	24	1
u65_	unknown (65+)	LT	Lithuania	1110	384	4569	1653	17	1
u13_17	unknown (13-17)	LT	Lithuania	163	69	307	125	1	0
