day_code_filter	day_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d128	2019-05-08	BE	Belgium	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	93	1	1796143	744802	5481	1329
d128	2019-05-08	BE	Belgium	Vlaams Belang	Vlaams Belang	56605856504	Facebook	4	1	1214581	585624	6987	1397
d128	2019-05-08	BE	Belgium	sp.a	sp.a	57253967150	Facebook	143	1	1074894	367775	5381	924
d128	2019-05-08	BE	Belgium	Open Vld	Open Vld	53668151866	Facebook	165	1	980330	385773	10237	1623
d128	2019-05-08	BE	Belgium	CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	94	1	751821	352772	3561	644
d128	2019-05-08	BE	Belgium	Facebook Brussels	Facebook	287739491272583	Facebook	16	1	672410	288800	6642	1668
d128	2019-05-08	BE	Belgium	Groen	Groen	84920854319	Facebook	92	1	453983	157770	1949	288
d128	2019-05-08	BE	Belgium	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	11	1	441706	193367	3412	769
d128	2019-05-08	BE	Belgium	VB - nos gens d'abord	Vlaams Belang	816130908786112	Facebook	40	1	394684	155953	5776	1417
d128	2019-05-08	BE	Belgium	DéFI	DéFI	173518112695794	Facebook	94	1	264195	56568	2112	224
d128	2019-05-08	BE	Belgium	Wacky Politicians	Ladbrokes Belgium	325449998160769	Facebook	78	1	248090	91835	632	33
d128	2019-05-08	BE	Belgium	Peter Mertens	PVDA	236485149843971	Facebook	467	1	238577	67439	3118	377
d128	2019-05-08	BE	Belgium	John Crombez	sp.a	264131406977201	Facebook	9	1	219035	104848	1127	207
d128	2019-05-08	BE	Belgium	Parti Socialiste (PS)	Parti Socialiste (PS)	518402351504731	Facebook	42	1	195821	49754	1009	161
d128	2019-05-08	BE	Belgium	CD&V	CD&V	52997544531	Facebook	41	1	178210	52396	1535	281
d128	2019-05-08	BE	Belgium	IKEA	IKEA	112961202185776	Facebook	13	1	172220	72111	599	175
d128	2019-05-08	BE	Belgium	Joris Vandenbroucke	Vandenbroucke Joris Jeroen J	984867054996076	Facebook	5	1	168330	75832	349	66
d128	2019-05-08	BE	Belgium	Vlaams Belang Brussel	Vlaams Belang	499682940133305	Facebook	7	1	133076	60724	1831	415
d128	2019-05-08	BE	Belgium	Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	4	1	112481	48124	318	145
d128	2019-05-08	BE	Belgium	Kim De Witte	PVDA	315662412174661	Facebook	5	1	112139	29902	994	199
d128	2019-05-08	BE	Belgium	MR - Mouvement Réformateur	MR - Mouvement Réformateur	236330169511	Facebook	39	1	100350	31289	711	111
d128	2019-05-08	BE	Belgium	CD&V Limburg	CD&V Limburg	495564387205601	Facebook	9	1	89998	23000	815	163
d128	2019-05-08	BE	Belgium	UNICEF Belgium	UNICEF Belgium	60589646095	Facebook	13	1	89695	34348	506	87
d128	2019-05-08	BE	Belgium	sp.a West-Vlaanderen	sp.a West-Vlaanderen	269157793205215	Facebook	5	1	80474	35238	313	85
d128	2019-05-08	BE	Belgium	Party of European Socialists	Party of European Socialists	148097975226385	Facebook	2	1	74998	22500	123	0
