advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Conservatives	The Conservative Party	8807334278	Facebook	d038	2019-02-07	141	1	1126489	452057	3310	1291
Alex Agius Saliba	Alex Agius Saliba	656955664383156	Facebook	d038	2019-02-07	1	1	999999	500000	4999	1000
Britain's Future	Britain's Future	1625300137516491	Facebook	d038	2019-02-07	200	1	631397	295258	5170	516
National Geographic		107307059419	Facebook	d038	2019-02-07	1	1	499999	200000	99	0
Kialo		729627343834501	Facebook	d038	2019-02-07	3	1	399997	200000	5338	1068
We are the 52%	We are the 52%	466744973727718	Facebook	d038	2019-02-07	18	1	386424	157178	1158	177
The Labour Party	The Labour Party	25749647410	Facebook	d038	2019-02-07	2	1	199998	100000	1154	231
Rädda Barnen		72659261793	Facebook	d038	2019-02-07	8	1	144992	38000	554	222
38 Degrees	38 Degrees	200006375787	Facebook	d038	2019-02-07	24	1	134252	55277	1060	121
Sacramento Kings		96222644025	Facebook	d038	2019-02-07	1	1	124999	62500	111	55
e.on		511324618972373	Facebook	d038	2019-02-07	1	1	124999	50000	124	25
People's Vote UK	People's Vote	748608695327755	Facebook	d038	2019-02-07	61	1	118095	26857	1731	81
Vereniging Eigen Huis		371735371563	Facebook	d038	2019-02-07	7	1	107140	43804	735	180
Consommez Malin		2045469565728527	Facebook	d038	2019-02-07	4	1	105996	21000	1696	600
Scientists for EU	Scientists for EU	642444842524195	Facebook	d038	2019-02-07	4	1	70527	16544	660	124
InFacts	InFacts	678120165658753	Facebook	d038	2019-02-07	4	1	66665	13333	152	0
Sheffield City Region Mayor	Sheffield City Region Mayoral Combined Authority	2064459193832465	Facebook	d038	2019-02-07	5	1	61805	23472	657	128
EU Watch	EU Watch	136146920436020	Facebook	d038	2019-02-07	9	1	53332	22916	364	53
London Labour Party	The London Labour Party 	474613052643462	Facebook	d038	2019-02-07	7	1	50699	16500	421	79
Dr. Tóth Bertalan	MSZP	1425355697692924	Facebook	d038	2019-02-07	1	1	49999	25000	154	77
Μανώλης Κεφαλογιάννης / Manolis Kefalogiannis		51638783172	Facebook	d038	2019-02-07	2	1	49999	10000	99	0
Unis pour les Droits Humains		1642871805813802	Facebook	d038	2019-02-07	3	1	49999	17500	55	0
Les Glorieuses		146011089076620	Facebook	d038	2019-02-07	1	1	49999	10000	99	0
Echtscheiding van A tot Z		171441119552408	Facebook	d038	2019-02-07	1	1	49999	10000	499	100
Sosialidemokraatit SDP		108945982480217	Facebook	d038	2019-02-07	11	1	41466	17683	241	42
