recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-26	2019-05-26	LT	Lithuania	35	19	263936	108433	1276	301
rd2	Last 2 days	2019-05-25	2019-05-26	LT	Lithuania	97	31	1289053	511863	5602	1213
rd3	Last 3 days	2019-05-24	2019-05-26	LT	Lithuania	280	54	6151760	2403998	26814	5312
rd4	Last 4 days	2019-05-23	2019-05-26	LT	Lithuania	323	59	10690017	4189644	46741	9068
rd5	Last 5 days	2019-05-22	2019-05-26	LT	Lithuania	359	61	14563390	5693650	62708	12258
rd6	Last 6 days	2019-05-21	2019-05-26	LT	Lithuania	371	61	17420688	6804516	75376	14668
rw1	Last week	2019-05-20	2019-05-26	LT	Lithuania	384	62	19595746	7665098	84344	16317
rw2	Last 2 weeks	2019-05-13	2019-05-26	LT	Lithuania	392	64	21765451	8509153	92528	17626
rw3	Last 3 weeks	2019-05-06	2019-05-26	LT	Lithuania	392	64	21765451	8509153	92528	17626
rw4	Last 4 weeks	2019-04-29	2019-05-26	LT	Lithuania	392	64	21765451	8509153	92528	17626
rm1	Last month	2019-04-27	2019-05-26	LT	Lithuania	392	64	21765451	8509153	92528	17626
rm2	Last 2 months	2019-03-28	2019-05-26	LT	Lithuania	392	64	21765451	8509153	92528	17626
rm3	Last 3 months	2019-02-26	2019-05-26	LT	Lithuania	392	64	21765451	8509153	92528	17626
rm6	Last 6 months	2019-01-01	2019-05-26	LT	Lithuania	392	64	21765451	8509153	92528	17626
