advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Donato Forcillo - candidato Parlamento Europeo M5S - Sardegna/Sicilia	Donato Forcillo	348043952450383	Facebook	65_	65+	IT	Italy	40	1	132362	30262	1027	18
Sergio Chiamparino	Andrea Maccagno	263544377156823	Facebook	65_	65+	IT	Italy	13	1	131907	39292	390	20
Jacopo Alberti Consigliere Regionale LEGA Salvini Toscana	JACOPO ALBERTI	1583213175233477	Facebook	65_	65+	IT	Italy	10	1	131385	53718	634	116
Il golpe Gentiloni		1299858193475119	Facebook	65_	65+	IT	Italy	1	1	127989	51195	1279	255
Aldo Patriciello	Aldo Patriciello	40645773554	Facebook	65_	65+	IT	Italy	10	1	127728	56736	587	108
Cristiano Zanella	Cristiano Zanella	1051393861711144	Facebook	65_	65+	IT	Italy	14	1	127428	43944	757	160
Massimo Paolucci	Massimo Paolucci	417241311803541	Facebook	65_	65+	IT	Italy	12	1	126446	32236	320	23
Alessandra Nardini	Alessandra Nardini	1393257504323165	Facebook	65_	65+	IT	Italy	19	1	124284	45307	747	87
Nicola Zingaretti	Partito Democratico	38423524033	Facebook	65_	65+	IT	Italy	5	1	123700	54571	199	40
Pina Picierno	SocialCom	212896992084952	Facebook	65_	65+	IT	Italy	39	1	122909	39197	876	28
Rosanna Conte	Rosanna Conte - Candidata della Lega	1035757379850845	Facebook	65_	65+	IT	Italy	118	1	122550	29569	1908	0
Mauro Parolini	Mauro Parolini 	179225584042	Facebook	65_	65+	IT	Italy	38	1	122354	30088	867	0
Roberto Gualtieri	Roberto Gualtieri	659891870744756	Facebook	65_	65+	IT	Italy	18	1	120260	27522	708	35
Marco Racca	Marco Racca	2341721169486171	Facebook	65_	65+	IT	Italy	13	1	120249	31653	916	157
Achille Variati	Achille Variati	478212418874107	Facebook	65_	65+	IT	Italy	12	1	116111	37925	570	81
Andrea Ventura per la Sinistra	Andrea Ventura	2128020000585703	Facebook	65_	65+	IT	Italy	12	1	111776	23365	399	0
Patrizia Toia	Patrizia Ferma Francesca Toia	519219611453854	Facebook	65_	65+	IT	Italy	26	1	111739	29498	586	29
Annalisa Corrado	ANNALISA CORRADO (mandataria elettorale Serena Drigo)	152120842162775	Facebook	65_	65+	IT	Italy	85	1	110299	33179	884	21
Roberto Rosso	Roberto Rosso	1735684256653359	Facebook	65_	65+	IT	Italy	7	1	105491	48998	1034	246
Zambelli_Stefania Lega	Stefania Zambelli 	2188617797870832	Facebook	65_	65+	IT	Italy	9	1	103865	46597	492	87
Francesca Puglisi	Francesca Puglisi	196965250328047	Facebook	65_	65+	IT	Italy	5	1	101139	32839	651	130
Save the Children Italia	Save the Children Italia	46590675335	Facebook	65_	65+	IT	Italy	6	1	100111	40639	264	82
Emma Bonino	Emma Bonino	9005388225	Facebook	65_	65+	IT	Italy	4	1	98011	41129	813	199
Silvio Magliano - Un amico in Comune, in Regione	RedHab	121968754543798	Facebook	65_	65+	IT	Italy	17	1	95577	20230	623	40
Andrea Caroppo	Andrea Caroppo	381061375420543	Facebook	65_	65+	IT	Italy	13	1	95406	29492	580	101
Lorenzo Cesa	Lorenzo Cesa	538632706513878	Facebook	65_	65+	IT	Italy	25	1	94505	23505	638	42
Giosi Ferrandino	Giosi Ferrandino	141856142632410	Facebook	65_	65+	IT	Italy	9	1	92180	21488	228	7
Virginia Puzzolo	Virginia Puzzolo	1950051888380307	Facebook	65_	65+	IT	Italy	30	1	89895	23931	760	0
Susanna Ceccardi	Susanna Ceccardi	257113927825642	Facebook	65_	65+	IT	Italy	7	1	89471	32848	310	49
Dante Cattaneo	Dante Cattaneo	256298824546192	Facebook	65_	65+	IT	Italy	27	1	88205	23955	685	27
Danilo Oscar Lancini	Danilo Oscar Lancini	247390032110856	Facebook	65_	65+	IT	Italy	14	1	87663	21006	537	47
Gianni Farina	Gianni Farina	340847436775181	Facebook	65_	65+	IT	Italy	9	1	86330	31834	471	82
Partito del Socialismo Europeo	Partito del Socialismo Europeo	1891926127734235	Facebook	65_	65+	IT	Italy	9	1	81543	30453	231	37
Pietro Fiocchi	Pietro Fiocchi	877595239247631	Facebook	65_	65+	IT	Italy	21	1	80514	20004	277	0
Centioni Alessia Europee 2019	SocialCom	1249137568574869	Facebook	65_	65+	IT	Italy	19	1	76859	20191	617	39
Nicola Caputo	Nicola Caputo	1439514556290274	Facebook	65_	65+	IT	Italy	30	1	74637	16951	335	0
Camilla Laureti	Camilla Laureti	1718838531535765	Facebook	65_	65+	IT	Italy	17	1	67622	19311	428	9
Angela Russo	Angela Russo 	1624334387651107	Facebook	65_	65+	IT	Italy	17	1	67354	21187	260	17
Andrea Tronzano	The Flag srl	321173954632439	Facebook	65_	65+	IT	Italy	7	1	67260	23084	391	54
