country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
EE	Estonia	w020	Week 20	225	52	747073	255888	4038	443
EE	Estonia	w019	Week 19	435	76	6121546	1972185	39296	4220
EE	Estonia	w018	Week 18	332	83	3908978	1492352	25691	4564
EE	Estonia	w017	Week 17	293	80	468472	143724	1934	129
EE	Estonia	w016	Week 16	303	95	919160	338242	3476	365
EE	Estonia	w015	Week 15	401	152	569969	173459	3498	208
EE	Estonia	w014	Week 14	325	149	421224	138247	2366	134
EE	Estonia	w013	Week 13	254	125	381218	136676	1667	242
EE	Estonia	w012	Week 12	245	114	509204	185679	2673	411
EE	Estonia	w011	Week 11	152	68	220077	81310	1188	186
