age_code	age_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	CZ	Czechia	79	28	193341	60260	668	140
18_24	18-24	CZ	Czechia	966	173	9650199	3707004	43377	12151
25_34	25-34	CZ	Czechia	1143	179	12253384	4731255	58104	15495
35_44	35-44	CZ	Czechia	1134	178	7367435	2710968	37143	9714
45_54	45-54	CZ	Czechia	1077	165	4372778	1546248	23463	5955
55_64	55-64	CZ	Czechia	1000	155	2635116	896760	16217	3972
65_	65+	CZ	Czechia	911	134	2360470	801887	15029	3681
