country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FI	Finland	w019	Week 19	1184	156	9316933	2717238	123093	9553
FI	Finland	w018	Week 18	788	167	9191253	3837222	82683	22880
FI	Finland	w017	Week 17	507	141	2619569	1001483	27802	6456
FI	Finland	w016	Week 16	561	190	1516095	474146	18904	2948
FI	Finland	w015	Week 15	1692	520	16315996	5395099	154693	24749
FI	Finland	w014	Week 14	1293	477	10202096	3536572	92849	15128
FI	Finland	w013	Week 13	866	353	6788019	2571595	69722	12216
FI	Finland	w012	Week 12	721	304	4645961	1740658	48498	7136
FI	Finland	w011	Week 11	409	198	1674858	560972	18265	1874
FI	Finland	w010	Week 10	385	169	1119084	321856	14079	717
