location_code_filter	location_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
central_macedonia_EL	Central Macedonia, Greece	Kyriakos Mitsotakis		34848567724	Facebook	58	1	2720093	1147273	8376	1889
central_macedonia_EL	Central Macedonia, Greece	European Parliament		178362315106	Facebook	49	1	2720019	1289214	8647	2164
central_macedonia_EL	Central Macedonia, Greece	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	45	1	1977996	833122	3567	570
central_macedonia_EL	Central Macedonia, Greece	Ανεξάρτητοι 'Ελληνες	Start Business Hellas	343233902394715	Facebook	30	1	1864608	841906	3585	748
central_macedonia_EL	Central Macedonia, Greece	Πέτρος Κόκκαλης - Petros Kokkalis	Πέτρος Κόκκαλης - Petros Kokkalis	234040963454964	Facebook	173	1	1283723	462990	4987	670
central_macedonia_EL	Central Macedonia, Greece	Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	111	1	1259915	481416	5151	779
central_macedonia_EL	Central Macedonia, Greece	Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	105	1	1064575	324232	2914	79
central_macedonia_EL	Central Macedonia, Greece	Kialo		729627343834501	Facebook	339	1	988884	406442	4802	1113
central_macedonia_EL	Central Macedonia, Greece	Δημήτρης Καιρίδης-Dimitris Kairidis	Dimitrios Kairidis	165710610795923	Facebook	127	1	976287	303223	5936	116
central_macedonia_EL	Central Macedonia, Greece	Κατερινα Μαρκου		832766380123763	Facebook	13	1	912462	361627	1514	197
central_macedonia_EL	Central Macedonia, Greece	INBOX	New Digital Media	369693523475596	Facebook	35	1	753152	331557	816	68
central_macedonia_EL	Central Macedonia, Greece	Greenpeace Greece	Greenpeace Greece	31324524225	Facebook	43	1	593267	242772	1475	196
central_macedonia_EL	Central Macedonia, Greece	Μαρία Σπυράκη		657782574275153	Facebook	22	1	581752	172977	1492	19
central_macedonia_EL	Central Macedonia, Greece	Ioannis Vardakastanis	Ioannis Vardakastanis	195643347979465	Facebook	100	1	545112	210270	2216	158
central_macedonia_EL	Central Macedonia, Greece	Θοδωρής Ζαγοράκης / Thodoris Zagorakis	Θοδωρής Ζαγοράκης / Thodoris Zagorakis	235332330007800	Facebook	2	1	506598	203635	594	99
central_macedonia_EL	Central Macedonia, Greece	Ιωάννης Πάιδας-Υποψήφιος Ευρωβουλευτής Νέας Δημοκρατίας		312321199470594	Facebook	42	1	498754	150923	1786	0
central_macedonia_EL	Central Macedonia, Greece	Θανάσης Λιακόπουλος - Όλοι μαζί μπορούμε καλύτερα	oloi-mazi	394013391085857	Facebook	57	1	487904	107992	5642	0
central_macedonia_EL	Central Macedonia, Greece	Μανώλης Κεφαλογιάννης / Manolis Kefalogiannis		51638783172	Facebook	46	1	481807	106681	1243	0
central_macedonia_EL	Central Macedonia, Greece	Nikos Papandreou	Nikos Papandreou	2245032148843299	Facebook	96	1	463697	145175	1841	123
central_macedonia_EL	Central Macedonia, Greece	Νότης Μαριάς, Ανεξάρτητος Ευρωβουλευτής		337788662974718	Facebook	20	1	449292	190351	703	73
central_macedonia_EL	Central Macedonia, Greece	Κίνημα Αλλαγής	Κίνημα Αλλαγής	504891253213373	Facebook	5	1	409538	200310	514	156
central_macedonia_EL	Central Macedonia, Greece	Παύλος Ελευθεριάδης		768996799785550	Facebook	25	1	398394	159531	1449	191
central_macedonia_EL	Central Macedonia, Greece	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	44	1	351044	163335	637	181
central_macedonia_EL	Central Macedonia, Greece	Κατερίνα Κούτρη - Katerina Koutri	Aikaterini Koutri	314010635931171	Facebook	7	1	315730	136455	445	0
central_macedonia_EL	Central Macedonia, Greece	Μελίνα Μαρία Δερμεντζοπούλου	Maria Dermentzopoulou	371463640320808	Facebook	5	1	314959	125982	494	0
