gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	HU	Hungary	279	60	4605678	1860533	15562	6001
m	male	HU	Hungary	281	59	5271198	2156823	16390	6493
u	unknown	HU	Hungary	208	52	15035	5924	47	17
