platform_code_filter	platform_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	Vlaams Belang	Vlaams Belang	56605856504	Facebook	66	1	26125934	12008000	176934	39200
f	Facebook	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	136	1	25756864	10995000	41593	10715
f	Facebook	PSOE	PSOE	189318235003	Facebook	335	1	25465665	10219000	77665	14200
f	Facebook	38 Degrees	38 Degrees	200006375787	Facebook	646	1	25016354	9160000	171673	25342
f	Facebook	European Greens	European Greens	141366725876424	Facebook	89	1	24671911	11034000	156311	39400
f	Facebook	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	51	1	24360949	11482000	49245	21827
f	Facebook	We are the 52%	We are the 52%	466744973727718	Facebook	278	1	23669722	8727000	66679	9026
f	Facebook	Partito Democratico		77034286895	Facebook	141	1	23021859	10212000	85359	19900
f	Facebook	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	106	1	22984894	9865000	203594	46900
f	Facebook	Sosialidemokraatit SDP		108945982480217	Facebook	317	1	22432683	8717000	145283	32000
f	Facebook	Harald Vilimsky		547597092025909	Facebook	178	1	17580822	7475000	164022	38200
f	Facebook	Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	27	1	16999973	7900000	48973	12200
f	Facebook	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	176	1	16931824	6959000	52524	10300
f	Facebook	SPÖ	SPÖ	77393060080	Facebook	728	1	16906272	5691000	130272	17400
f	Facebook	Greenpeace Deutschland		22541752487	Facebook	490	1	16323510	5796000	94610	12900
f	Facebook	Rädda Barnen		72659261793	Facebook	571	1	16223429	5209000	142071	35783
f	Facebook	Un país moderno	Unidas Podemos	577723459314066	Facebook	64	1	15626936	7060000	84536	18000
f	Facebook	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	79	1	15353921	6996000	36345	8900
f	Facebook	Kyriakos Mitsotakis		34848567724	Facebook	80	1	14628920	6238000	35120	7400
f	Facebook	Fidesz	Fidesz	9844779306	Facebook	76	1	14104924	6691000	47372	23217
f	Facebook	Romania #nuepsd	Future Innovation	293215748279337	Facebook	34	1	13159966	6065000	8523	3592
f	Facebook	The Brexit Party	The Brexit Party	230416667843105	Facebook	78	1	13095922	6190000	184597	54156
f	Facebook	Patryk Jaki		199877710116314	Facebook	255	1	12898745	5043000	58146	13423
f	Facebook	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	72	1	12796928	5387000	32228	5600
f	Facebook	Save the Children Italia		46590675335	Facebook	47	1	12386953	5553000	52453	13900
f	Facebook	Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	82	1	11770918	5145000	43138	10253
f	Facebook	Plan International Sverige		382243262003	Facebook	346	1	11655654	3832000	98465	24170
f	Facebook	CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	114	1	11644886	5532000	45186	9300
f	Facebook	Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	737	1	11192263	4165000	193902	35641
f	Facebook	BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	384	1	11126616	3753000	88016	13800
f	Facebook	Giorgos Patoulis	Georgios Patoulis	668804566601196	Facebook	130	1	11055870	4546000	35670	6300
f	Facebook	WeWorld Onlus		299584710061488	Facebook	374	1	10764626	4144000	61926	7700
f	Facebook	ČSSD	ČSSD	111041662264882	Facebook	1716	1	10603284	2692000	52641	12754
f	Facebook	Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	91	1	10537909	4365000	28609	5500
f	Facebook	Open Vld	Open Vld	53668151866	Facebook	346	1	10265654	3726000	80754	13700
f	Facebook	Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	451	1	10134549	3969000	35953	7025
f	Facebook	UK government	UK government	408582579294175	Facebook	21	1	10059979	4435000	117777	37724
f	Facebook	Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	48	1	9976952	4228000	7800	2627
