advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	rm2	Last 2 months	1441	1	222414400	99855330	1164859	295593
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	rm2	Last 2 months	251	1	193399999	19230000	1157599	22599
Future Innovation SRL		AR474748779908562944	Google	rm2	Last 2 months	43	1	183040000	18300000	695950	12049
AMERISOFT SRL		AR573801583431647232	Google	rm2	Last 2 months	216	1	161730000	16089999	17550	750
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	rm2	Last 2 months	42	1	141810000	14180000	729050	41899
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	rm2	Last 2 months	89	1	128239999	12779999	648249	12150
Podemos	Unidas Podemos	269212336568846	Facebook	rm2	Last 2 months	331	1	104971669	46949000	622568	161999
Ciudadanos	Ciudadanos	74078667754	Facebook	rm2	Last 2 months	6245	1	91000755	27832999	886755	68300
Partido Popular	Partido Popular	72249031214	Facebook	rm2	Last 2 months	3644	1	81745355	28176999	586556	61100
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	rm2	Last 2 months	850	1	68979999	6270000	95399	3050
Freiheitliche Partei Österreich		AR333020356698701824	Google	rm2	Last 2 months	51	1	58290000	5799999	486299	37499
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	rm2	Last 2 months	126	1	56519999	5590000	170000	4050
COALICION CANARIA		AR489541609348661248	Google	rm2	Last 2 months	3716	1	56060000	1989999	221599	1149
SPD	SPD	47930567748	Facebook	rm2	Last 2 months	8825	1	51238174	14684999	1096375	59700
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	rm2	Last 2 months	176	1	42620000	4230000	8799	0
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	rm2	Last 2 months	83	1	41600000	4099999	431999	7950
sp.a	sp.a	57253967150	Facebook	rm2	Last 2 months	412	1	39198587	15513999	183288	39800
CDU	CDU	78502295414	Facebook	rm2	Last 2 months	3170	1	38647830	9275000	347030	8300
Kialo		729627343834501	Facebook	rm2	Last 2 months	490	1	37955509	14141999	214948	48714
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	rm2	Last 2 months	92	1	36072908	16150000	76648	22250
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rm2	Last 2 months	184	1	33894815	15393000	95286	21325
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	rm2	Last 2 months	120	1	33150000	3239999	10050	449
FDP	FDP	21289227249	Facebook	rm2	Last 2 months	2128	1	30496876	9210000	265375	14599
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rm2	Last 2 months	118	1	28527882	11798000	89582	22799
European Commission		107898832590939	Facebook	rm2	Last 2 months	87	1	28086912	12857000	111012	28600
