advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Future Innovation SRL		AR474748779908562944	Google	rw3	Last 3 weeks	42	1	150436298	15040100	580065	10084
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	rw3	Last 3 weeks	42	1	127809999	12780000	610438	39899
AMERISOFT SRL		AR573801583431647232	Google	rw3	Last 3 weeks	196	1	123029951	12243871	12946	616
European Parliament		178362315106	Facebook	rw3	Last 3 weeks	308	1	115552691	53263999	626157	174681
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	rw3	Last 3 weeks	229	1	95926070	9541099	670375	13029
Podemos	Unidas Podemos	269212336568846	Facebook	rw3	Last 3 weeks	298	1	65703223	29028788	411036	111266
Freiheitliche Partei Österreich		AR333020356698701824	Google	rw3	Last 3 weeks	43	1	58023469	5788008	460740	36982
Partido Popular	Partido Popular	72249031214	Facebook	rw3	Last 3 weeks	2121	1	53227501	20387999	409121	55160
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	rw3	Last 3 weeks	684	1	48728198	4455726	59940	2161
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	rw3	Last 3 weeks	94	1	40818428	4048594	131594	3069
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	rw3	Last 3 weeks	76	1	40344467	3992826	399626	7292
CDU	CDU	78502295414	Facebook	rw3	Last 3 weeks	3170	1	38647830	9275000	347030	8300
FDP	FDP	21289227249	Facebook	rw3	Last 3 weeks	1964	1	29244000	8901855	247120	14199
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	rw3	Last 3 weeks	75	1	28468479	12800238	59856	17744
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rw3	Last 3 weeks	159	1	28019369	12594926	74384	16359
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	rw3	Last 3 weeks	369	1	27807681	11448274	126095	24117
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	rw3	Last 3 weeks	143	1	27799999	2710000	9849	300
sp.a	sp.a	57253967150	Facebook	rw3	Last 3 weeks	351	1	27398704	10814869	125845	26726
COALICION CANARIA		AR489541609348661248	Google	rw3	Last 3 weeks	3431	1	27335349	740718	113709	475
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rw3	Last 3 weeks	111	1	25930396	10736661	78838	20254
Ciudadanos	Ciudadanos	74078667754	Facebook	rw3	Last 3 weeks	2691	1	25292309	7206000	356309	22600
România în primul rând	Future Innovation	770704223323599	Facebook	rw3	Last 3 weeks	63	1	22586604	10223333	23847	5700
KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	rw3	Last 3 weeks	1489	1	21100000	689999	80299	650
PSOE	PSOE	189318235003	Facebook	rw3	Last 3 weeks	335	1	18387145	7294094	59821	10116
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	rw3	Last 3 weeks	74	1	17142593	7394333	26765	7297
