advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rd6	Last 6 days	91	1	14345194	6283191	28189	6083
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	rd6	Last 6 days	355	1	14083883	5887688	58400	10932
FDP	FDP	21289227249	Facebook	rd6	Last 6 days	1323	1	13606569	4013753	144998	6024
România în primul rând	Future Innovation	770704223323599	Facebook	rd6	Last 6 days	52	1	11828255	5368234	12795	2904
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rd6	Last 6 days	103	1	11455468	4746814	36423	8650
European Greens	European Greens	141366725876424	Facebook	rd6	Last 6 days	41	1	10261190	4602000	68082	16800
CDU	CDU	78502295414	Facebook	rd6	Last 6 days	3170	1	9661957	2318750	86757	2075
sp.a	sp.a	57253967150	Facebook	rd6	Last 6 days	204	1	9209561	3071779	42912	6900
European Parliament		178362315106	Facebook	rd6	Last 6 days	35	1	8481662	3931545	48970	12288
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	rd6	Last 6 days	51	1	7976950	3289000	11283	1600
SPÖ	SPÖ	77393060080	Facebook	rd6	Last 6 days	559	1	7527556	2444083	60049	8103
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	rd6	Last 6 days	32	1	7525295	3306504	15135	3903
Parlement européen en France	Parlement européen en France	279757933824	Facebook	rd6	Last 6 days	72	1	7359927	2880000	29527	7800
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	rd6	Last 6 days	756	1	7118467	2401853	102555	11907
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	rd6	Last 6 days	335	1	6958970	2147724	47292	7607
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	rd6	Last 6 days	20	1	6918499	3250626	11138	4522
Partito Democratico		77034286895	Facebook	rd6	Last 6 days	79	1	6778805	2958726	22945	4438
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	rd6	Last 6 days	55	1	6331079	2719242	13104	3411
Fidesz	Fidesz	9844779306	Facebook	rd6	Last 6 days	31	1	5166636	2486666	17849	8873
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	rd6	Last 6 days	96	1	4761481	2226914	21969	3965
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rd6	Last 6 days	138	1	4752862	1774000	22661	2299
SPD	SPD	47930567748	Facebook	rd6	Last 6 days	1685	1	4735926	849121	177091	2747
Open Vld	Open Vld	53668151866	Facebook	rd6	Last 6 days	217	1	4661167	1792691	36897	6541
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	rd6	Last 6 days	25	1	4598574	2031928	3433	1293
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	rd6	Last 6 days	379	1	4496125	1571113	76067	10154
Venstre, Danmarks Liberale Parti		21465928829	Facebook	rd6	Last 6 days	341	1	4469830	1774869	32786	8425
DIE LINKE	DIE LINKE	47694585682	Facebook	rd6	Last 6 days	202	1	4226874	1492107	21182	1069
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	rd6	Last 6 days	101	1	4037431	1417547	7772	2101
Facebook Brussels	Facebook	287739491272583	Facebook	rd6	Last 6 days	16	1	4034459	1732803	39857	10009
PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	rd6	Last 6 days	15	1	3917985	1729000	6065	1700
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	rd6	Last 6 days	45	1	3580078	1564452	3877	1006
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	rd6	Last 6 days	25	1	3515899	1551870	28780	7428
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	rd6	Last 6 days	127	1	3410484	927587	36260	10305
Greenpeace Deutschland		22541752487	Facebook	rd6	Last 6 days	245	1	3277721	949852	20932	2585
Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	rd6	Last 6 days	1231	1	3233402	721497	63714	1838
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	rd6	Last 6 days	7	1	3178566	1426785	14388	3178
INBOX	New Digital Media	369693523475596	Facebook	rd6	Last 6 days	26	1	3167475	1409499	3675	300
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	rd6	Last 6 days	55	1	3128945	1161999	10176	2233
Campact e.V.	Campact e.V.	82734241364	Facebook	rd6	Last 6 days	25	1	3126315	1311762	19512	4408
DéFI	DéFI	173518112695794	Facebook	rd6	Last 6 days	135	1	3117133	663409	19932	2146
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	rd6	Last 6 days	12	1	3099988	1320000	45376	11853
Vlaams Belang	Vlaams Belang	56605856504	Facebook	rd6	Last 6 days	10	1	3070824	1430416	18761	3754
Centerpartiet	Centerpartiet	12690894340	Facebook	rd6	Last 6 days	124	1	3031981	1092747	35460	8705
Groen	Groen	84920854319	Facebook	rd6	Last 6 days	125	1	2897856	990038	14294	1960
Giorgos Patoulis	Georgios Patoulis	668804566601196	Facebook	rd6	Last 6 days	58	1	2882223	1241146	10509	1889
Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	353868374653514	Facebook	rd6	Last 6 days	46	1	2825978	1133306	5767	873
Partei der Humanisten	Partei der Humanisten	499613946840551	Facebook	rd6	Last 6 days	190	1	2756809	859999	23009	1600
Romania #nuepsd	Future Innovation	293215748279337	Facebook	rd6	Last 6 days	4	1	2749996	1325000	1102	393
John Crombez	sp.a	264131406977201	Facebook	rd6	Last 6 days	25	1	2727039	1290757	9856	1822
ČSSD	ČSSD	111041662264882	Facebook	rd6	Last 6 days	894	1	2717106	508000	12401	2498
SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	rd6	Last 6 days	56	1	2701742	1117754	4127	330
IKEA	IKEA	112961202185776	Facebook	rd6	Last 6 days	73	1	2636605	905333	12361	1686
