advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	rd3	Last 3 days	306	1	8268158	3585586	30109	5837
FDP	FDP	21289227249	Facebook	rd3	Last 3 days	1230	1	7729187	2187726	96881	2982
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rd3	Last 3 days	80	1	7199305	3142946	12443	2798
European Greens	European Greens	141366725876424	Facebook	rd3	Last 3 days	41	1	6387440	2864350	42176	10440
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rd3	Last 3 days	101	1	5801119	2401149	18520	4372
România în primul rând	Future Innovation	770704223323599	Facebook	rd3	Last 3 days	43	1	5475240	2512103	6048	1299
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	rd3	Last 3 days	42	1	5309632	2189666	7532	1033
sp.a	sp.a	57253967150	Facebook	rd3	Last 3 days	197	1	5192444	1715902	23419	3683
Parlement européen en France	Parlement européen en France	279757933824	Facebook	rd3	Last 3 days	72	1	4415956	1728000	17716	4680
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	rd3	Last 3 days	237	1	4348246	1292075	27775	4268
SPÖ	SPÖ	77393060080	Facebook	rd3	Last 3 days	545	1	4079040	1337308	30968	4434
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	rd3	Last 3 days	756	1	3899425	1282676	59628	6358
Partito Democratico		77034286895	Facebook	rd3	Last 3 days	78	1	3351069	1461696	11296	2186
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	rd3	Last 3 days	17	1	3312397	1545250	5142	2133
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	rd3	Last 3 days	54	1	3028700	1138249	9724	2087
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	rd3	Last 3 days	40	1	2864693	1207197	5825	1388
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rd3	Last 3 days	133	1	2563817	866000	11817	613
PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	rd3	Last 3 days	15	1	2479490	1093499	3680	1009
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	rd3	Last 3 days	96	1	2443240	1140957	11134	2007
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	rd3	Last 3 days	78	1	2415253	876869	4036	1097
Open Vld	Open Vld	53668151866	Facebook	rd3	Last 3 days	168	1	2405848	948845	16073	3155
DIE LINKE	DIE LINKE	47694585682	Facebook	rd3	Last 3 days	179	1	2386638	840344	11677	521
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	rd3	Last 3 days	5	1	2339282	1057142	11067	2514
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	rd3	Last 3 days	24	1	2281427	1015859	1599	625
European Parliament		178362315106	Facebook	rd3	Last 3 days	16	1	2263238	988750	9938	2425
