recent_code	recent_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-13	2019-05-13	28533	3321	94226622	32834602	640926	74025
rd2	Last 2 days	2019-05-12	2019-05-13	31549	3729	214227159	75132214	1410262	169876
rd3	Last 3 days	2019-05-11	2019-05-13	33727	4039	342406909	120838620	2227324	277444
rd4	Last 4 days	2019-05-10	2019-05-13	38238	4384	483393947	170610728	3108001	402626
rd5	Last 5 days	2019-05-09	2019-05-13	44872	4673	612961258	215920614	4034598	518142
rd6	Last 6 days	2019-05-08	2019-05-13	47992	4902	729745135	256965581	4839751	622576
rw1	Last week	2019-05-07	2019-05-13	51380	5204	844881206	298235855	5644089	728187
rw2	Last 2 weeks	2019-04-30	2019-05-13	78265	7624	1963403889	582638948	12474151	1476478
rw3	Last 3 weeks	2019-04-23	2019-05-13	101603	9153	3065225818	865712264	19489964	2260570
rw4	Last 4 weeks	2019-04-16	2019-05-13	116656	10961	3737804203	1040310001	23416766	2637268
rm1	Last month	2019-04-14	2019-05-13	121814	11976	3902538322	1089687685	24438408	2752791
rm2	Last 2 months	2019-03-15	2019-05-13	164655	20417	5384986466	1542197771	35340578	3969597
rm3	Last 3 months	2019-02-13	2019-05-13	180888	22491	5849061249	1710680567	38787564	4465295
rm6	Last 6 months	2019-01-01	2019-05-13	192075	23071	6185483672	1830641000	41573112	4892057
