country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
NL	Netherlands	zuid_holland	Zuid-Holland	5062	1055	6949508	2645902	59131	10249
NL	Netherlands	noord_holland	Noord-Holland	5125	1088	4962869	1735596	51350	7138
NL	Netherlands	gelderland	Gelderland	4540	915	4021282	1466400	29156	4633
NL	Netherlands	north_brabant	North Brabant	4792	985	2567389	990899	22659	4127
NL	Netherlands	limburg	Limburg	4443	929	1639426	529746	12507	1816
NL	Netherlands	utrecht	Utrecht	4305	883	1095578	386876	9977	1269
NL	Netherlands	overijssel	Overijssel	4066	808	756091	282024	7922	877
NL	Netherlands	friesland	Friesland	3663	714	449723	159526	3764	306
NL	Netherlands	groningen	Groningen	3892	761	399056	135202	4318	620
NL	Netherlands	drenthe	Drenthe	3506	680	202183	76883	2309	173
NL	Netherlands	zeeland	Zeeland	3701	746	149972	48390	1429	78
NL	Netherlands	flevoland	Flevoland	3609	711	143228	47132	1524	81
