spend_code	spend_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_50	0 - 50	FR	France	9060	2599	48999383	12967182	546076	118
50_100	50 - 100	FR	France	9244	2544	3047212	1122260	16602	2552
100_1k	100 - 1k	FR	France	1979	607	84273382	34052756	451314	134736
1k_5k	1k - 5k	FR	France	256	103	61795811	27697817	599091	121053
5k_10k	5k - 10k	FR	France	12	10	3870377	1933493	39692	19503
10k_50k	10k - 50k	FR	France	1	1	35151	17575	1564	312
