country_code_filter	country_name_filter	impression_code	impression_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
NL	Netherlands	0_1k	0 - 1k	1841	537	973797	0	94333	11
NL	Netherlands	1k_5k	1k - 5k	1763	678	4080461	816255	79638	151
NL	Netherlands	5k_10k	5k - 10k	877	452	3785434	1892906	42059	1224
NL	Netherlands	10k_50k	10k - 50k	1663	555	26456962	5291498	172558	30764
NL	Netherlands	50k_100k	50k - 100k	490	205	15237989	7619070	110370	33592
NL	Netherlands	100k_200k	100k - 200k	321	135	18538562	9269327	149612	40045
NL	Netherlands	200k_500k	200k - 500k	241	103	34863687	13945502	263817	63797
NL	Netherlands	500k_1m	500k - 1m	84	47	20847916	10423968	102573	24076
