advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Britain's Future	Britain's Future	1625300137516491	Facebook	d050	2019-02-19	358	1	1150695	347684	12714	3396
Best For Britain	Best for Britain	1863944713844924	Facebook	d050	2019-02-19	96	1	695396	291372	8519	1655
People's Vote UK	People's Vote	748608695327755	Facebook	d050	2019-02-19	24	1	540685	215062	6656	1455
Amnistía Internacional España		78151799929	Facebook	d050	2019-02-19	4	1	405996	201000	1196	200
We are the 52%	We are the 52%	466744973727718	Facebook	d050	2019-02-19	11	1	247198	95797	790	180
38 Degrees	38 Degrees	200006375787	Facebook	d050	2019-02-19	33	1	209306	88602	1199	149
Dedicated Brand		165262836994463	Facebook	d050	2019-02-19	1	1	199999	100000	462	92
Our Future, Our Choice	Our Future, Our Choice	1777176712575796	Facebook	d050	2019-02-19	14	1	180828	40416	544	0
Les Congolais Debout		1405739032827831	Facebook	d050	2019-02-19	1	1	166666	66666	38	0
Plan International Sverige		382243262003	Facebook	d050	2019-02-19	31	1	162057	66493	343	140
e.on		309840349048638	Facebook	d050	2019-02-19	6	1	161994	62000	994	100
Conservatives	The Conservative Party	8807334278	Facebook	d050	2019-02-19	166	1	153464	52057	4091	133
CreativeTees		687860694745364	Facebook	d050	2019-02-19	3	1	109997	25000	264	0
Unis pour les Droits Humains		1642871805813802	Facebook	d050	2019-02-19	3	1	96427	33571	56	0
Alex Salmond	Slainte Media	136191876445102	Facebook	d050	2019-02-19	4	1	79165	30833	175	0
Polska Fundacja im. Roberta Schumana		150617698324166	Facebook	d050	2019-02-19	9	1	74998	22500	130	26
Alfred Sant	Alfred Sant	537789116260209	Facebook	d050	2019-02-19	3	1	64582	29166	228	64
Deutschland3000		1672408719723194	Facebook	d050	2019-02-19	1	1	62499	25000	62	12
EU Watch	EU Watch	136146920436020	Facebook	d050	2019-02-19	7	1	57618	11523	152	0
Comité Justice & Libertés Pour Tous - CJL		223006651523189	Facebook	d050	2019-02-19	1	1	55555	22222	11	0
Plan International España	Jose Manuel Bran Garcia	366619768708	Facebook	d050	2019-02-19	1	1	49999	10000	99	0
Dr. Johannes Öhlböck		249601055090885	Facebook	d050	2019-02-19	1	1	49999	10000	499	100
Success Resources		550751965021284	Facebook	d050	2019-02-19	1	1	49999	10000	577	115
Harald Vilimsky		547597092025909	Facebook	d050	2019-02-19	3	1	46666	17916	433	83
Medici Senza Frontiere		65737832194	Facebook	d050	2019-02-19	14	1	46214	19369	236	65
Trade Deal Watch	Trade Deal Watch	1319435198084792	Facebook	d050	2019-02-19	2	1	37499	15000	288	57
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	d050	2019-02-19	108	1	36916	10030	236	56
Plaid Cymru	Plaid Cymru	26416930992	Facebook	d050	2019-02-19	3	1	34517	13793	223	43
Gianluca Sportaro		359096264849550	Facebook	d050	2019-02-19	1	1	33333	16666	33	0
Feudo Arancio		1430685883840905	Facebook	d050	2019-02-19	3	1	32894	16052	147	28
George Simion Unire		294035851052538	Facebook	d050	2019-02-19	3	1	32498	8000	31	0
Million Dollar Vegan	Million Dollar Vegan	554024238384285	Facebook	d050	2019-02-19	7	1	30322	10340	291	49
Another Europe Is Possible	Another Europe is Possible	1652149835054791	Facebook	d050	2019-02-19	2	1	29999	7500	114	0
Manometal		165855190799208	Facebook	d050	2019-02-19	1	1	29411	14705	14	2
Polonia Semper Fidelis		155770611655343	Facebook	d050	2019-02-19	5	1	28657	6829	66	11
Klang der Solidarität		385076005313967	Facebook	d050	2019-02-19	19	1	26924	11049	55	5
Tony Blair Institute for Global Change	Tony Blair Institute for Global Change	131712588824	Facebook	d050	2019-02-19	2	1	26666	5333	153	23
Wajid Khan MEP	Wajid Khan	149151651921120	Facebook	d050	2019-02-19	2	1	26665	5333	95	0
Pernille Weiss	Det Konservative Folkeparti	2071183673144991	Facebook	d050	2019-02-19	1	1	26315	10526	70	35
Protestuj.pl		450781218391641	Facebook	d050	2019-02-19	2	1	26249	5625	14	0
The New Arab	The New Arab	1426949024217365	Facebook	d050	2019-02-19	2	1	25499	5000	114	0
Μανώλης Κεφαλογιάννης / Manolis Kefalogiannis		51638783172	Facebook	d050	2019-02-19	1	1	24999	5000	49	0
Europees Parlement Nederland		270788920480	Facebook	d050	2019-02-19	1	1	24999	12500	124	25
Budapest 10-es Választókerület		757956501234552	Facebook	d050	2019-02-19	1	1	24999	5000	77	15
Tretti		250791121791	Facebook	d050	2019-02-19	2	1	24999	9545	33	6
The Other Palace	LW Theatres Group	313392135365695	Facebook	d050	2019-02-19	1	1	24999	5000	57	0
JLE - Young Professionals	Jewish Learning Exchange	655716367846051	Facebook	d050	2019-02-19	1	1	24999	5000	57	0
re:BLOG		282126665310796	Facebook	d050	2019-02-19	1	1	24999	12500	124	62
UCU - University and College Union	University and College Union	1446863375581750	Facebook	d050	2019-02-19	1	1	24999	12500	144	72
SE Energi & Klima		169900309711559	Facebook	d050	2019-02-19	1	1	21739	8695	58	29
Greenpeace UK	Greenpeace UK 	9250349228	Facebook	d050	2019-02-19	39	1	21155	8805	110	13
Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS		46620712083	Facebook	d050	2019-02-19	3	1	20832	4166	41	0
Advertising Week Europe		957474261104635	Facebook	d050	2019-02-19	4	1	20667	8240	186	36
Liberal Alliance	Liberal Alliance	106952222676974	Facebook	d050	2019-02-19	17	1	20542	4440	68	17
Marco Antonio Orsini		395865050792874	Facebook	d050	2019-02-19	1	1	19999	10000	17	0
Simon Clarke MP	Simon Clarke	228249960960213	Facebook	d050	2019-02-19	5	1	19722	3935	92	10
WeWorld Onlus		299584710061488	Facebook	d050	2019-02-19	5	1	18525	8148	12	2
Christof Bitschi		1697898137102698	Facebook	d050	2019-02-19	7	1	18416	4170	186	32
Le Monde		14892757589	Facebook	d050	2019-02-19	6	1	18388	7344	19	3
