advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	rd1	Yesterday	61	1	7076897	3157583	40617	9736
CDU	CDU	78502295414	Facebook	rd1	Yesterday	3170	1	5050471	1255166	52305	0
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	rd1	Yesterday	275	1	2605512	981184	12728	2048
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	rd1	Yesterday	12	1	1738687	759761	6885	1730
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rd1	Yesterday	76	1	1408615	631385	4043	872
Partito Democratico		77034286895	Facebook	rd1	Yesterday	71	1	1381257	516158	5794	845
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	rd1	Yesterday	354	1	1176673	313887	14447	2205
România în primul rând	Future Innovation	770704223323599	Facebook	rd1	Yesterday	19	1	1072829	480833	1187	277
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	rd1	Yesterday	80	1	794266	162392	2001	14
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	rd1	Yesterday	17	1	650241	295419	1231	376
GRUNDIG		1508163162762486	Facebook	rd1	Yesterday	14	1	626662	287333	1185	248
Partidul Naţional Liberal		181375448581167	Facebook	rd1	Yesterday	20	1	624400	278809	1359	408
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	rd1	Yesterday	190	1	555411	189793	3668	521
Fidesz	Fidesz	9844779306	Facebook	rd1	Yesterday	6	1	499997	225000	1857	928
Facebook Brussels	Facebook	287739491272583	Facebook	rd1	Yesterday	16	1	495328	184666	4581	1086
SPÖ	SPÖ	77393060080	Facebook	rd1	Yesterday	274	1	488818	161691	4272	338
Lietuvos socialdemokratų partija - LSDP	Lietuvos socialdemokratų partija - LSDP	202360056491831	Facebook	rd1	Yesterday	40	1	435066	156250	1941	56
Partei der Humanisten	Partei der Humanisten	499613946840551	Facebook	rd1	Yesterday	143	1	427534	145416	5284	124
Greenpeace Deutschland		22541752487	Facebook	rd1	Yesterday	213	1	418999	121183	4309	189
Romania #nuepsd	Future Innovation	293215748279337	Facebook	rd1	Yesterday	2	1	416666	208333	227	61
Facebook	Facebook	726281677519881	Facebook	rd1	Yesterday	5	1	401999	161000	4019	800
Centerpartiet	Centerpartiet	12690894340	Facebook	rd1	Yesterday	85	1	397176	121250	3672	914
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	rd1	Yesterday	10	1	380886	166387	2131	789
Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	rd1	Yesterday	36	1	369182	140268	846	123
VB - nos gens d'abord	Vlaams Belang	816130908786112	Facebook	rd1	Yesterday	30	1	368003	131560	3952	982
