advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	rw4	Last 4 weeks	614	1	120115415	54443619	633020	171228
Podemos	Unidas Podemos	269212336568846	Facebook	rw4	Last 4 weeks	330	1	99012022	44068579	586144	153588
Ciudadanos	Ciudadanos	74078667754	Facebook	rw4	Last 4 weeks	6240	1	89670760	27212999	879960	66960
Partido Popular	Partido Popular	72249031214	Facebook	rw4	Last 4 weeks	3644	1	81745355	28176999	586556	61100
CDU	CDU	78502295414	Facebook	rw4	Last 4 weeks	3170	1	30302830	7531000	313830	0
sp.a	sp.a	57253967150	Facebook	rw4	Last 4 weeks	228	1	28495403	11914687	134494	31399
SPD	SPD	47930567748	Facebook	rw4	Last 4 weeks	4588	1	28434412	8925999	573912	30900
Kialo		729627343834501	Facebook	rw4	Last 4 weeks	362	1	27509638	10377999	137224	30626
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	rw4	Last 4 weeks	74	1	26597370	11698888	60861	16953
PSOE	PSOE	189318235003	Facebook	rw4	Last 4 weeks	334	1	24965666	10018999	77166	14100
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	rw4	Last 4 weeks	283	1	20041716	8071000	94616	17800
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rw4	Last 4 weeks	95	1	17614572	8181333	57794	13516
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rw4	Last 4 weeks	90	1	17561938	7562231	46624	10587
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	rw4	Last 4 weeks	37	1	16460963	7797000	36245	16550
Partidul Naţional Liberal		181375448581167	Facebook	rw4	Last 4 weeks	75	1	16434925	7115999	25049	6954
România în primul rând	Future Innovation	770704223323599	Facebook	rw4	Last 4 weeks	64	1	16120937	7166000	17183	4223
Vlaams Belang	Vlaams Belang	56605856504	Facebook	rw4	Last 4 weeks	46	1	15949954	7285499	102229	24575
Un país moderno	Unidas Podemos	577723459314066	Facebook	rw4	Last 4 weeks	64	1	15626936	7059999	84536	17999
FDP	FDP	21289227249	Facebook	rw4	Last 4 weeks	852	1	15584166	4721872	111553	7400
Greenpeace France		39435457457	Facebook	rw4	Last 4 weeks	67	1	15196933	6749000	57933	14000
European Commission		107898832590939	Facebook	rw4	Last 4 weeks	85	1	15186510	6875278	59784	15510
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	rw4	Last 4 weeks	68	1	15181269	6401366	138255	32416
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	rw4	Last 4 weeks	21	1	12449979	5610000	40079	9800
Romania #nuepsd	Future Innovation	293215748279337	Facebook	rw4	Last 4 weeks	31	1	11159968	5164999	7893	3277
The Labour Party	The Labour Party	25749647410	Facebook	rw4	Last 4 weeks	144	1	10330596	4033540	94468	22511
