recent_code	recent_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-07	2019-05-07	22207	2858	64876859	22196355	485301	47048
rd2	Last 2 days	2019-05-06	2019-05-07	24380	3244	150624210	51698744	1109808	112174
rd3	Last 3 days	2019-05-05	2019-05-07	26475	3598	237526079	82757710	1694343	183912
rd4	Last 4 days	2019-05-04	2019-05-07	28198	3864	329419358	116049884	2260247	260734
rd5	Last 5 days	2019-05-03	2019-05-07	30882	4295	436554665	155039719	2964900	360315
rd6	Last 6 days	2019-05-02	2019-05-07	36169	5009	528893073	186944528	3780593	441196
rw1	Last week	2019-05-01	2019-05-07	38900	5315	600854720	212986857	4362170	520224
rw2	Last 2 weeks	2019-04-24	2019-05-07	60809	7115	1225582936	446258863	8894031	1185410
rw3	Last 3 weeks	2019-04-17	2019-05-07	74479	8819	1649635821	602201402	11667291	1558559
rw4	Last 4 weeks	2019-04-10	2019-05-07	87994	11664	2045594199	748472951	14259726	1916408
rm1	Last month	2019-04-08	2019-05-07	92247	12340	2142366069	783064132	15075059	2025824
rm2	Last 2 months	2019-03-09	2019-05-07	125643	18961	3015599216	1097496719	21604781	2907815
rm3	Last 3 months	2019-02-07	2019-05-07	137113	19983	3345022605	1217589782	24087502	3261602
rm6	Last 6 months	2019-01-01	2019-05-07	146306	20433	3620843694	1314863999	26456611	3629447
