week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w021	Week 21	2019-05-20	2019-05-26	RO	Romania	1706	294	124838785	50664696	276467	70845
w020	Week 20	2019-05-13	2019-05-19	RO	Romania	388	123	14139050	5867639	28353	6549
