advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Vilija Blinkevičiūtė	Lietuvos socialdemokratų partija - LSDP	1551002341778947	Facebook	u35_44	unknown (35-44)	LT	Lithuania	4	1	77	14	0	0
15min		40711908859	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	74	14	0	0
Lietuvos žaliųjų partija - #NEvalstiečiai		300771660032648	Facebook	u35_44	unknown (35-44)	LT	Lithuania	2	1	70	14	0	0
Viktoras Uspaskich		160851767470	Facebook	u35_44	unknown (35-44)	LT	Lithuania	2	1	69	23	0	0
VoteWatch Europe		355087424564148	Facebook	u35_44	unknown (35-44)	LT	Lithuania	5	1	62	26	0	0
Laikykitės ten		1627943310850393	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	56	11	0	0
M.G.Maksimalietis		287613331259579	Facebook	u35_44	unknown (35-44)	LT	Lithuania	6	1	53	10	1	0
Laisvos visuomenės institutas		943920815656380	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	52	26	0	0
prof. dr. Vytautas Radžvilas		62378591336	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	51	10	0	0
Kęstutis Mažeika		781577665286911	Facebook	u35_44	unknown (35-44)	LT	Lithuania	2	1	51	25	0	0
Odontologijos klinika GIDENTA		103619649675086	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	48	9	0	0
NATO Strategic Communications Centre of Excellence		1456516717932002	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	45	22	0	0
Lietuvių tautininkų ir respublikonų sąjunga		108177835942929	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	44	8	0	0
Game of Sultans		185311195624361	Facebook	u35_44	unknown (35-44)	LT	Lithuania	6	1	43	18	0	0
Climate-KIC		403370709744295	Facebook	u35_44	unknown (35-44)	LT	Lithuania	2	1	41	18	0	0
Europeana.eu		10261403667	Facebook	u35_44	unknown (35-44)	LT	Lithuania	2	1	39	16	0	0
Aušra Maldeikienė		1650670061877646	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	39	7	0	0
Socialinės apsaugos ir darbo ministerija		183786048462	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	38	7	0	0
TGS BALTIC		385491438561265	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	38	7	0	0
Create.Refresh	Create.Refresh	1736881926615141	Facebook	u35_44	unknown (35-44)	LT	Lithuania	4	1	37	15	0	0
Europe Together		140105536131109	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	29	14	0	0
Locked N' Loaded		2121608601493086	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	29	5	0	0
Dvi Tylos		1652505418335722	Facebook	u35_44	unknown (35-44)	LT	Lithuania	2	1	29	3	1	0
MasterClass		687589164666184	Facebook	u35_44	unknown (35-44)	LT	Lithuania	3	1	27	13	0	0
Atvira Širdis		642814939256054	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	27	5	0	0
Asociacija „Savarankiškas gyvenimas“		554958651367292	Facebook	u35_44	unknown (35-44)	LT	Lithuania	2	1	25	9	0	0
Jaunųjų konservatorių lyga	Vaitkevicius	269533485196	Facebook	u35_44	unknown (35-44)	LT	Lithuania	4	1	24	4	0	0
European Jewish Association		853930504670255	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	23	11	0	0
Autogidas.lt		77506876306	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	23	11	0	0
BBC News Russian		190992343324	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	22	4	0	0
Baltosios pirštinės		362446500510769	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	21	10	0	0
Lietuvos Emigrantų Sąjunga		423692800995137	Facebook	u35_44	unknown (35-44)	LT	Lithuania	9	1	21	4	0	0
Tatjana Babrauskienė	Babrauskiene Tatjana	1101509610035530	Facebook	u35_44	unknown (35-44)	LT	Lithuania	2	1	20	9	0	0
FontBundles.net		1653056048283270	Facebook	u35_44	unknown (35-44)	LT	Lithuania	3	1	20	8	0	0
Talking Europe		316028505828375	Facebook	u35_44	unknown (35-44)	LT	Lithuania	3	1	19	9	0	0
Tėvyne Mūsų		1524944987615159	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	17	8	0	0
Cecilia Malmström		258966159416	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	16	6	0	0
Liv. Li paintings	Lisauskaite Liveta	2336613579907237	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	16	3	0	0
Wholesome Culture		1664959567149320	Facebook	u35_44	unknown (35-44)	LT	Lithuania	4	1	16	7	0	0
Success Resources		550751965021284	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	16	3	0	0
Hoagard		331529506998997	Facebook	u35_44	unknown (35-44)	LT	Lithuania	8	1	15	2	0	0
EU vs Disinformation		1087491177963859	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	15	7	0	0
Dirbančių Neįgaliųjų Asociacija		276196292879415	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	15	7	0	0
European Commission		107898832590939	Facebook	u35_44	unknown (35-44)	LT	Lithuania	4	1	14	7	0	0
Zuokas		150259975018869	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	14	7	0	0
Guardian B2B		452752128144314	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	14	7	0	0
eToro		193863317737	Facebook	u35_44	unknown (35-44)	LT	Lithuania	16	1	14	5	0	0
MmosWorld		1262271977168621	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	12	6	0	0
Quotes		1881150392198555	Facebook	u35_44	unknown (35-44)	LT	Lithuania	2	1	12	5	0	0
Orbex		1415953441956155	Facebook	u35_44	unknown (35-44)	LT	Lithuania	7	1	11	2	0	0
