platform_code_filter	platform_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	European Parliament		178362315106	Facebook	1806	1	255907194	113979000	1306973	325539
f	Facebook	Podemos	Unidas Podemos	269212336568846	Facebook	332	1	105021668	46959000	622668	162000
f	Facebook	People's Vote UK	People's Vote	748608695327755	Facebook	3563	1	96266437	33219000	1262884	226114
f	Facebook	Ciudadanos	Ciudadanos	74078667754	Facebook	6245	1	91000755	27833000	886755	68300
f	Facebook	Kialo		729627343834501	Facebook	818	1	84983182	33517000	551509	134018
f	Facebook	Britain's Future	Britain's Future	1625300137516491	Facebook	4488	1	83742512	25934000	1003644	137011
f	Facebook	Partido Popular	Partido Popular	72249031214	Facebook	3644	1	81745356	28177000	586556	61100
f	Facebook	European Greens		141366725876424	Facebook	266	1	56934734	25160000	330034	81700
f	Facebook	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	3907	1	54646093	18538000	762117	96393
f	Facebook	SPD	SPD	47930567748	Facebook	9445	1	54171555	15400000	1163455	61400
f	Facebook	Conservatives	The Conservative Party	8807334278	Facebook	2226	1	45625774	17580000	528111	71861
f	Facebook	sp.a	sp.a	57253967150	Facebook	452	1	44573548	17920000	215148	46100
f	Facebook	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	233	1	43990767	19717000	112210	25149
f	Facebook	Best For Britain	Best for Britain	1863944713844924	Facebook	873	1	40579127	17207000	502830	118496
f	Facebook	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	96	1	40022904	18360000	97867	25926
f	Facebook	The Labour Party	The Labour Party	25749647410	Facebook	659	1	39397341	15906000	324523	70472
f	Facebook	CDU	CDU	78502295414	Facebook	3170	1	38647830	9275000	347030	8300
f	Facebook	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	2382	1	36539618	12658000	423783	44320
f	Facebook	FDP	FDP	21289227249	Facebook	2313	1	35052687	10739000	294587	17500
f	Facebook	Greenpeace France		39435457457	Facebook	131	1	31935869	14623000	163369	37200
f	Facebook	România în primul rând	Future Innovation	770704223323599	Facebook	94	1	31564906	13871000	30130	7878
f	Facebook	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	132	1	30583868	12797000	100668	26100
f	Facebook	European Commission		107898832590939	Facebook	92	1	30386908	13977000	122608	31200
f	Facebook	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	398	1	29700602	12214000	140702	26800
f	Facebook	Vlaams Belang	Vlaams Belang	56605856504	Facebook	74	1	28725926	13178000	196426	47000
