gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	DE	Germany	25154	3618	124657577	39343450	1427896	111542
m	male	DE	Germany	24398	3543	158607751	51022414	1857620	163293
u	unknown	DE	Germany	16409	3222	1173419	382090	13736	1370
