country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
DK	Denmark	w020	Week 20	1998	287	3437188	1070914	29374	7522
DK	Denmark	w019	Week 19	3479	411	33692128	10489409	320430	80552
DK	Denmark	w018	Week 18	2767	390	14494824	4439525	125440	30391
DK	Denmark	w017	Week 17	2336	386	10486214	3221927	91211	22957
DK	Denmark	w016	Week 16	1988	392	7564739	2376168	75009	18916
DK	Denmark	w015	Week 15	1893	489	5063990	1566864	48432	10510
DK	Denmark	w014	Week 14	1347	433	4535751	1309832	50962	10977
DK	Denmark	w013	Week 13	1033	340	4312328	1380833	44236	10014
DK	Denmark	w012	Week 12	934	321	3928074	1223290	40110	8758
DK	Denmark	w011	Week 11	820	285	3904657	1216517	35851	7953
