age_code_filter	age_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
18_24	18-24	AT	Austria	European Parliament		178362315106	Facebook	97	1	4100523	1669573	34332	7145
18_24	18-24	AT	Austria	SPÖ	SPÖ	77393060080	Facebook	488	1	3441914	1158684	22463	2732
18_24	18-24	AT	Austria	Harald Vilimsky		547597092025909	Facebook	168	1	3162801	1347152	27942	6579
18_24	18-24	AT	Austria	Claudia Gamon	NEOS	447992848717452	Facebook	268	1	2419043	848907	15987	2951
18_24	18-24	AT	Austria	Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	592	1	2221132	690361	23161	625
18_24	18-24	AT	Austria	Die Grünen	Die Grünen	21759893033	Facebook	100	1	2167020	689591	16236	2935
18_24	18-24	AT	Austria	Europäisches Parlament Österreich		124468054313069	Facebook	35	1	2129024	877265	7199	2622
18_24	18-24	AT	Austria	Europäische Kommission - Vertretung in Österreich		187626534620326	Facebook	18	1	1949522	808305	2738	447
18_24	18-24	AT	Austria	Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	1235	1	1557745	343279	29544	746
18_24	18-24	AT	Austria	kontrast.at	kontrast.at	1079650008770485	Facebook	104	1	1482256	599230	6736	2189
18_24	18-24	AT	Austria	Andreas Schieder	SPÖ	290881691011354	Facebook	131	1	1262449	417222	9201	1742
18_24	18-24	AT	Austria	Stadt Wien	Stadt Wien	110971788921077	Facebook	24	1	1259107	424657	3040	399
18_24	18-24	AT	Austria	HC Strache	FPÖ	74865038590	Facebook	73	1	985996	424953	8252	1970
18_24	18-24	AT	Austria	European Greens	European Greens	141366725876424	Facebook	18	1	699629	297583	5258	1199
18_24	18-24	AT	Austria	GRAS - Grüne & Alternative Student_innen	GRAS - Grüne & Alternative Student_innen	79935247286	Facebook	33	1	454856	123606	4747	693
18_24	18-24	AT	Austria	OÖVP - die Oberösterreichische Volkspartei	Oberösterreichische Volkspartei	289163077789256	Facebook	39	1	412740	114321	1070	70
18_24	18-24	AT	Austria	Johann Gudenus		104145976305577	Facebook	49	1	334757	126747	2080	381
18_24	18-24	AT	Austria	Kialo		729627343834501	Facebook	296	1	328929	111901	2098	497
18_24	18-24	AT	Austria	Karoline Edtstadler	Salzburger Volkspartei	1580540041983231	Facebook	278	1	297159	72636	4135	291
18_24	18-24	AT	Austria	Dominik Nepp	FPÖ-Wien	135953609780627	Facebook	20	1	281582	122481	1636	515
18_24	18-24	AT	Austria	Günther Sidl	BSA Niederösterreich	806694216374998	Facebook	19	1	268095	111443	1170	208
18_24	18-24	AT	Austria	Othmar Karas	Volkspartei	395638503864459	Facebook	362	1	235190	43326	8885	174
18_24	18-24	AT	Austria	GPA-djp	GPA-djp	214499840736	Facebook	28	1	223738	49453	843	0
18_24	18-24	AT	Austria	SPÖ Kärnten	SPÖ Kärnten	10150145829810364	Facebook	33	1	220243	74697	1697	328
18_24	18-24	AT	Austria	FPÖ	FPÖ	169051073236170	Facebook	15	1	204068	87610	1661	397
