age_code_filter	age_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
55_64	55-64	AT	Austria	SPÖ	SPÖ	77393060080	Facebook	581	1	2336960	808877	20628	3109
55_64	55-64	AT	Austria	Harald Vilimsky		547597092025909	Facebook	176	1	2235806	954013	23387	5461
55_64	55-64	AT	Austria	Andreas Schieder	SPÖ	290881691011354	Facebook	158	1	1114065	334128	9046	1661
55_64	55-64	AT	Austria	kontrast.at	kontrast.at	1079650008770485	Facebook	104	1	956551	371820	6315	2003
55_64	55-64	AT	Austria	Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	1192	1	814080	179331	18381	634
55_64	55-64	AT	Austria	HC Strache	FPÖ	74865038590	Facebook	72	1	596852	245187	3372	901
55_64	55-64	AT	Austria	Karoline Edtstadler	Salzburger Volkspartei	1580540041983231	Facebook	285	1	544991	121510	7960	578
55_64	55-64	AT	Austria	Claudia Gamon	NEOS	447992848717452	Facebook	184	1	395841	112532	3347	363
55_64	55-64	AT	Austria	Die Grünen	Die Grünen	21759893033	Facebook	48	1	313584	101927	2360	428
55_64	55-64	AT	Austria	Othmar Karas	Volkspartei	395638503864459	Facebook	332	1	306747	67535	7953	330
55_64	55-64	AT	Austria	Wolfram Pirchner	Österreichischer Seniorenbund	296676857050295	Facebook	10	1	295543	102584	4502	855
55_64	55-64	AT	Austria	Wirtschaftsbund Österreich	Wirtschaftsbund Österreich	385183128166442	Facebook	147	1	221431	56890	4305	146
55_64	55-64	AT	Austria	Stadt Wien	Stadt Wien	110971788921077	Facebook	14	1	214686	65010	1321	193
55_64	55-64	AT	Austria	Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	548	1	199095	52071	3400	52
55_64	55-64	AT	Austria	FPÖ	FPÖ	169051073236170	Facebook	16	1	197296	84095	1568	394
55_64	55-64	AT	Austria	Julia Herr	Sozialistische Jugend Österreich	345172509462824	Facebook	22	1	176571	70719	2213	569
