country_code_filter	country_name_filter	gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SE	Sweden	f	female	9964	1839	90173884	30212049	767212	190338
SE	Sweden	m	male	9256	1783	74480115	25277351	636250	156904
SE	Sweden	u	unknown	8395	1691	2186914	728253	18016	4317
