recent_code	recent_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-12	2019-05-12	30553	3624	130216448	45188665	880323	100576
rd2	Last 2 days	2019-05-11	2019-05-12	32719	3940	268541620	93850591	1796529	212631
rd3	Last 3 days	2019-05-10	2019-05-12	37218	4289	418614026	146516236	2752337	341709
rd4	Last 4 days	2019-05-09	2019-05-12	43880	4585	553997907	193699188	3722043	461787
rd5	Last 5 days	2019-05-08	2019-05-12	47096	4813	674028610	235782761	4550279	567667
rd6	Last 6 days	2019-05-07	2019-05-12	50479	5117	791785906	277952259	5372741	675678
rw1	Last week	2019-05-06	2019-05-12	52778	5365	908084670	320816348	6084078	784224
rw2	Last 2 weeks	2019-04-29	2019-05-12	79760	7764	2042321543	600369177	13003585	1525564
rw3	Last 3 weeks	2019-04-22	2019-05-12	102355	9299	3132298719	876823319	19871668	2275827
rw4	Last 4 weeks	2019-04-15	2019-05-12	118499	11339	3782099086	1052050499	23739678	2662165
rm1	Last month	2019-04-13	2019-05-12	122107	12259	3934780313	1093888832	24701380	2750785
rm2	Last 2 months	2019-03-14	2019-05-12	164770	20411	5364551471	1534617744	35305393	3949970
rm3	Last 3 months	2019-02-12	2019-05-12	179979	22317	5802243086	1693648606	38535912	4411790
rm6	Last 6 months	2019-01-01	2019-05-12	190758	22868	6127197989	1809235000	41247165	4828424
