advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU Rheinland-Pfalz		178032906642	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
David Bouillon Conseiller Communal Indépendant		292854978277832	Facebook	rw4	Last 4 weeks	1	1	49999	10000	499	100
En Común Unidas Podemos	En Común Unidas Podemos	2536849286389587	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Winq.nl	Winq.nl	120087784724637	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Councillor Mark Baxter	mark baxter	177568735732339	Facebook	rw4	Last 4 weeks	1	1	49999	10000	114	0
Unser Vorarlberg		1806220812928034	Facebook	rw4	Last 4 weeks	1	1	49999	10000	498	99
Jim Allister	Jim Allister	1414985198733772	Facebook	rw4	Last 4 weeks	1	1	49999	10000	114	0
Cristina Iurisniti Deputat USR BN		745975698891864	Facebook	rw4	Last 4 weeks	1	1	49999	10000	104	21
Svenskt Näringsliv		90882504375	Facebook	rw4	Last 4 weeks	1	1	49999	10000	92	46
The Finance Tour		1583398038376348	Facebook	rw4	Last 4 weeks	1	1	49999	10000	499	100
Bertel Haarder		404683979561081	Facebook	rw4	Last 4 weeks	1	1	49999	10000	669	133
Compricer		152818393664	Facebook	rw4	Last 4 weeks	1	1	49999	10000	462	92
Busse & Bahnen NRW		417864931917475	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Tony Blair Institute for Global Change	Tony Blair Institute for Global Change	131712588824	Facebook	rw4	Last 4 weeks	1	1	49999	10000	577	115
Adrian Mocanu		458397014327039	Facebook	rw4	Last 4 weeks	1	1	49999	10000	20	0
Shopping City Galati		301080780030438	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
ABB Formula E		490941397612413	Facebook	rw4	Last 4 weeks	1	1	49999	10000	577	115
Joy Aitman for Witney East	Witney Labour Party	326009781529642	Facebook	rw4	Last 4 weeks	1	1	49999	10000	114	0
Ivan Lovrinović		941907929204784	Facebook	rw4	Last 4 weeks	1	1	49999	10000	88	0
Marius Minzat		1147789798617576	Facebook	rw4	Last 4 weeks	1	1	49999	10000	20	0
Ezia Carbone Candidato Sindaco Aci Castello		406661643215330	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
ODA		764700610326484	Facebook	rw4	Last 4 weeks	1	1	49999	10000	194	38
AxSí Alcalá		1431886580399121	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Austrian Institute of Economics and Social Philosophy	Martin Prikoszovich 	656825111035082	Facebook	rw4	Last 4 weeks	1	1	49999	9999	498	99
Piratenpartei Baden-Württemberg		116231878443958	Facebook	rw4	Last 4 weeks	1	1	49999	10000	498	99
Mreža Antifašistkinja Zagreba		787731051321372	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Székely Nemzeti Tanács		475728132612518	Facebook	rw4	Last 4 weeks	1	1	49999	10000	20	0
Gazeta.pl		56246989582	Facebook	rw4	Last 4 weeks	1	1	49999	10000	88	0
SISM Torino		417708004929719	Facebook	rw4	Last 4 weeks	1	1	49999	10000	88	0
Georg Strasser		1450886738334945	Facebook	rw4	Last 4 weeks	1	1	49999	10000	499	100
Belforte Obiettivo Comune		2137823876507934	Facebook	rw4	Last 4 weeks	1	1	49999	9999	88	0
João Castelão		180111202191505	Facebook	rw4	Last 4 weeks	1	1	49999	10000	88	0
Federico Marini		139317863427515	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
R. Kampffmeyer		1723826407744123	Facebook	rw4	Last 4 weeks	1	1	49999	10000	499	100
N-VA Ronse	Vandekerkhove David	166525380128528	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Gran Risparmio		239331629870252	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Baltic Pipe i DK		363391397476774	Facebook	rw4	Last 4 weeks	1	1	49999	10000	669	133
Página: Manolo García		308481426515962	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Podasca Gabriela-Maria		453425841481648	Facebook	rw4	Last 4 weeks	1	1	49999	10000	104	21
Adrian George Coman		249662829048725	Facebook	rw4	Last 4 weeks	1	1	49999	10000	114	0
Panos Kallieris		2070259623261091	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Angelika Mlinar		253355901456286	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
INTERSPORT FIRMINY		1071386209553028	Facebook	rw4	Last 4 weeks	1	1	49999	10000	498	99
Evig Grön		201581136991713	Facebook	rw4	Last 4 weeks	1	1	49999	10000	88	0
Takis Hadjigeorgiou		610639632353466	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Jean de Bethune		425691141175605	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Stratford4Europe		260125537768998	Facebook	rw4	Last 4 weeks	1	1	49999	10000	577	115
RISE TV		695231853900857	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Antonio Limardi verdi europee		2282558408472006	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Million Dollar Vegan	Million Dollar Vegan	554024238384285	Facebook	rw4	Last 4 weeks	1	1	49999	10000	577	115
Janka Cigániková - Fungujúce zdravotníctvo		708006319284463	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
BU		223201455215799	Facebook	rw4	Last 4 weeks	1	1	49999	10000	114	0
