age_code_filter	age_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
65_	65+	Britain's Future	Britain's Future	1625300137516491	Facebook	3899	1	22111016	6518701	255794	35759
65_	65+	Ciudadanos	Ciudadanos	74078667754	Facebook	4690	1	7773364	2403612	76052	6137
65_	65+	People's Vote UK	People's Vote	748608695327755	Facebook	3242	1	7571058	2422098	126617	20849
65_	65+	We are the 52%	We are the 52%	466744973727718	Facebook	278	1	6686836	2391177	20437	2656
65_	65+	38 Degrees	38 Degrees	200006375787	Facebook	643	1	6051741	2182902	42230	5882
65_	65+	European Parliament		178362315106	Facebook	916	1	5902894	2547910	36295	7896
65_	65+	Conservatives	The Conservative Party	8807334278	Facebook	1749	1	5677357	2068187	81941	10480
65_	65+	Podemos	Unidas Podemos	269212336568846	Facebook	186	1	5555703	2514064	36794	9686
65_	65+	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	358	1	5474950	2264453	24774	4688
65_	65+	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	3464	1	5118178	1593095	105249	9872
65_	65+	Partido Popular	Partido Popular	72249031214	Facebook	1364	1	5067654	1592570	59401	2951
65_	65+	The Labour Party	The Labour Party	25749647410	Facebook	617	1	4431474	1756405	41017	9390
65_	65+	Best For Britain	Best for Britain	1863944713844924	Facebook	749	1	4280639	1774167	64613	14513
65_	65+	SPD	SPD	47930567748	Facebook	5995	1	3940688	900780	121655	4098
65_	65+	Vattenfall Sverige		608975645850217	Facebook	28	1	3917339	1781658	48608	13431
65_	65+	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	83	1	3759690	1663780	8243	2401
65_	65+	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	51	1	3529058	1653202	7783	3426
65_	65+	Sosialidemokraatit SDP		108945982480217	Facebook	240	1	3327075	1276296	21346	4211
65_	65+	The Brexit Party	The Brexit Party	230416667843105	Facebook	89	1	3216838	1528182	46078	13765
65_	65+	Partito Democratico		77034286895	Facebook	120	1	2849253	1276800	13095	2897
65_	65+	Fidesz	Fidesz	9844779306	Facebook	76	1	2814188	1349411	9880	4868
65_	65+	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	118	1	2559799	1060882	4895	1312
65_	65+	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	2201	1	2428992	746037	39757	3398
65_	65+	Greenpeace France		39435457457	Facebook	125	1	2242962	1019503	11942	2753
65_	65+	Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	708	1	2105635	766852	42845	7312
65_	65+	WeWorld Onlus		299584710061488	Facebook	327	1	2058831	805626	10423	1275
65_	65+	România în primul rând	Future Innovation	770704223323599	Facebook	77	1	2013055	883136	2859	657
65_	65+	Nemzeti Televízió	Alfahír Hírportál	164061553749320	Facebook	81	1	1980937	820325	5256	2105
65_	65+	Save the Children Italia		46590675335	Facebook	46	1	1973329	903878	9742	2394
65_	65+	Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	27	1	1883049	877489	5922	1489
65_	65+	sp.a	sp.a	57253967150	Facebook	181	1	1875721	622142	19372	3223
65_	65+	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	102	1	1851138	791088	16775	3969
65_	65+	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	61	1	1737052	792990	4122	1123
65_	65+	Vlaams Belang	Vlaams Belang	56605856504	Facebook	66	1	1667027	762962	13602	2902
65_	65+	Right To Vote	Right to Vote	408236463256774	Facebook	358	1	1660196	405268	15608	1880
65_	65+	ČSSD	ČSSD	111041662264882	Facebook	1103	1	1652256	361077	10008	2310
65_	65+	Venstre, Danmarks Liberale Parti		21465928829	Facebook	314	1	1624592	516138	11279	3235
65_	65+	Un país moderno	Unidas Podemos	577723459314066	Facebook	44	1	1611681	694057	11990	2387
65_	65+	FDP	FDP	21289227249	Facebook	1997	1	1449400	430292	15489	1021
65_	65+	Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	54	1	1444317	540458	3538	1187
65_	65+	Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	136	1	1407160	497918	10520	2114
65_	65+	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	105	1	1405552	584455	9316	2010
65_	65+	SPÖ	SPÖ	77393060080	Facebook	513	1	1401382	487363	12445	1946
65_	65+	Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	31	1	1333762	554311	14569	4458
65_	65+	SP	SP	128393027527	Facebook	158	1	1243009	475997	13095	2497
65_	65+	TheArticle	TheArticle	607840469632004	Facebook	26	1	1221634	550786	17839	3957
65_	65+	Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	129	1	1203167	423916	2370	758
65_	65+	Centerpartiet	Centerpartiet	12690894340	Facebook	108	1	1156449	408672	14946	3640
65_	65+	Open Vld	Open Vld	53668151866	Facebook	329	1	1150624	412138	10644	1608
65_	65+	Vereniging Eigen Huis		371735371563	Facebook	15	1	1135422	463928	8769	1935
65_	65+	Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	43	1	1108621	419379	1526	421
65_	65+	Harald Vilimsky		547597092025909	Facebook	160	1	1088969	469046	11765	2795
65_	65+	Πέτρος Κόκκαλης - Petros Kokkalis	Πέτρος Κόκκαλης - Petros Kokkalis	234040963454964	Facebook	174	1	1081681	389115	4272	484
65_	65+	Le HCR, l'Agence des Nations Unies pour les Réfugiés		112542522148670	Facebook	57	1	1076790	453029	3418	952
65_	65+	Save the Children España	Save the Children España	57845333112	Facebook	19	1	1047976	478184	5322	1244
65_	65+	Plan International Sverige		382243262003	Facebook	308	1	1045932	345431	8570	2163
65_	65+	Alex Salmond	Slainte Media	136191876445102	Facebook	91	1	1028306	340592	5551	632
65_	65+	Gazeta Wyborcza		63563473556	Facebook	373	1	1021969	322811	2512	365
65_	65+	UK government	UK government	408582579294175	Facebook	18	1	1015214	458024	11844	3672
65_	65+	Médecins du Monde France		265420476920	Facebook	836	1	1004026	304478	16801	1114
65_	65+	Esquerra Republicana de Catalunya	Esquerra Republicana de Catalunya	150234575797	Facebook	171	1	993311	414860	4407	784
65_	65+	PSOE	PSOE	189318235003	Facebook	125	1	991906	422301	3052	762
65_	65+	MSZP	MSZP	115388925185513	Facebook	65	1	978761	425855	2181	979
65_	65+	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	63	1	963833	452564	4277	897
65_	65+	Stefano Maullu		150618724962388	Facebook	33	1	963764	377850	2788	488
65_	65+	Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	38	1	952776	465582	4287	1025
65_	65+	Giorgos Patoulis	Georgios Patoulis	668804566601196	Facebook	128	1	897069	356101	3695	632
65_	65+	CDU	CDU	78502295414	Facebook	3136	1	890673	216335	8870	198
65_	65+	Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	42	1	883821	360457	2623	612
65_	65+	RMDSZ	RMDSZ	102601499822802	Facebook	203	1	882391	265279	1445	257
65_	65+	Oxfam Novib		115289021825188	Facebook	39	1	874619	355066	12539	3752
65_	65+	Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	67	1	873442	363724	4591	1143
65_	65+	Roberta Metsola		406824526101449	Facebook	471	1	865247	260467	9287	285
65_	65+	ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	25	1	865101	415040	1277	332
65_	65+	Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	105	1	856748	299367	3961	580
65_	65+	Lilian Marijnissen	SP	844559615710915	Facebook	48	1	839169	342136	4851	1093
65_	65+	ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	80	1	807696	348856	4073	998
65_	65+	Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	29	1	796057	209566	9683	2521
65_	65+	Lara Comi	Lara Comi	155619044465389	Facebook	89	1	775871	224857	2373	482
65_	65+	Adesso Basta		1062452300584762	Facebook	2	1	763216	381608	3815	763
65_	65+	Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	38	1	761980	311529	1913	423
65_	65+	Peter Mertens	PVDA	236485149843971	Facebook	416	1	759513	214584	9876	938
65_	65+	EU Watch	EU Watch	136146920436020	Facebook	35	1	759376	228794	2401	270
65_	65+	Roberto Rosso		1735684256653359	Facebook	37	1	706511	305953	3836	939
65_	65+	John Crombez	sp.a	264131406977201	Facebook	77	1	702918	240639	5413	1070
65_	65+	Socialdemokratiet	Socialdemokratiet	41459763029	Facebook	58	1	695873	231235	9145	2406
65_	65+	Angelo Ciocca	Angelo Ciocca	479212098810360	Facebook	33	1	695586	281019	3437	819
65_	65+	Ádám Kósa Mep	Adam Kosa, Member of the European Parliament	237088069704442	Facebook	11	1	683212	292925	1808	835
65_	65+	Scientists for EU	Scientists for EU	642444842524195	Facebook	57	1	663923	216116	4408	741
65_	65+	DéFI	DéFI	173518112695794	Facebook	143	1	658431	141904	4765	412
65_	65+	London Gov	the Greater London Authority	713179875369048	Facebook	28	1	654669	271554	7324	1548
65_	65+	Andreas Schieder	SPÖ	290881691011354	Facebook	158	1	651831	192061	5311	972
65_	65+	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	145	1	644236	250402	3689	609
65_	65+	Stichting De Noordzee		128160633899802	Facebook	41	1	643114	269008	4083	831
65_	65+	Demokratikus Koalíció	Demokratikus Koalíció	169599166463839	Facebook	26	1	639093	194581	1325	308
65_	65+	España Ciudadana		349800235527721	Facebook	18	1	636739	273631	3039	736
65_	65+	Nicola Danti		241424056063716	Facebook	56	1	634142	192725	3506	575
65_	65+	Compromís	Compromís	194053080624605	Facebook	45	1	630645	261063	2616	527
65_	65+	Fundación Anesvad	Jose Manuel Bran Garcia	131231529742	Facebook	231	1	629002	240030	7425	1621
65_	65+	Patryk Jaki		199877710116314	Facebook	231	1	628556	238568	2814	623
65_	65+	European Greens	European Greens	141366725876424	Facebook	16	1	624147	269723	4824	1085
65_	65+	Gyöngyösi Márton	Országgyűlés Hivatala Jobbik Frakció	781030738624077	Facebook	19	1	622039	254207	1135	500
65_	65+	Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	30	1	621018	244687	2646	534
65_	65+	Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	14	1	619976	254645	2481	878
65_	65+	kontrast.at	kontrast.at	1079650008770485	Facebook	103	1	609629	236873	4157	1334
65_	65+	LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	68	1	607646	219762	1097	314
65_	65+	En Comú Podem	En Comú Podem	463627663844039	Facebook	54	1	599333	255370	2433	547
65_	65+	VB - nos gens d'abord	Vlaams Belang	816130908786112	Facebook	128	1	586106	197831	7050	1556
