age_code	age_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	21219	5141	92836127	34280713	403855	37252
18_24	18-24	157116	21903	1072276818	404949386	6648490	972384
25_34	25-34	176120	23806	1169373716	436082006	8011579	1214082
35_44	35-44	178537	23649	916991980	335614359	6770850	1014534
45_54	45-54	174507	22969	803758167	286447589	6424259	923157
55_64	55-64	166254	21773	633843284	220215533	5355118	717931
65_	65+	151471	19792	454996794	155673411	4094026	560470
