region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
alsace	Alsace	FR	France	6293	1476	766990	280079	8751	857
aquitaine	Aquitaine	FR	France	6573	1532	1167826	391392	13010	1439
auvergne	Auvergne	FR	France	5585	1315	574818	184037	7443	1334
basse_normandie	Basse-Normandie	FR	France	5680	1334	357423	147080	4104	848
bourgogne	Bourgogne	FR	France	5767	1328	473211	170005	7717	864
bretagne	Bretagne	FR	France	6255	1444	1853535	640986	22084	4799
centre	Centre	FR	France	6152	1433	1191406	451168	15139	2715
champagne_ardenne	Champagne-Ardenne	FR	France	5751	1354	567907	214564	6600	946
corse	Corse	FR	France	4702	1121	140923	34915	1149	13
franche_comte	Franche-Comté	FR	France	5554	1299	388695	121633	6285	572
haute_normandie	Haute-Normandie	FR	France	6012	1417	484538	161501	5953	407
languedoc_roussillon	Languedoc-Roussillon	FR	France	6470	1489	1779285	608053	21131	2919
limousin	Limousin	FR	France	5217	1234	1377175	517979	14346	2618
lorraine	Lorraine	FR	France	6295	1468	2483268	872007	29785	3609
midi_pyrenees	Midi-Pyrénées	FR	France	6453	1489	1600456	536966	13557	1576
nord_pas_de_calais	Nord-Pas-de-Calais	FR	France	6664	1567	3691301	1400449	36175	6565
pays_de_la_loire	Pays de la Loire	FR	France	6312	1476	1414281	538122	18524	2678
picardie	Picardie	FR	France	5937	1410	1761258	645822	18099	3339
poitou_charentes	Poitou-Charentes	FR	France	5835	1366	629348	259478	10140	1940
provence_alpes_cote_dazur	Provence-Alpes-Côte d'Azur	FR	France	7096	1663	3065968	975719	31354	2526
rhone_alpes	Rhône-Alpes	FR	France	7088	1654	6070583	2192591	72647	10921
ile_de_france	Île-de-France	FR	France	8235	2059	17995866	6401410	181811	29020
