age_code	age_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	22759	5306	96277976	35734229	428063	39492
18_24	18-24	168932	22614	1167839618	441289164	7242712	1063276
25_34	25-34	189942	24548	1268999040	474342444	8629991	1313659
35_44	35-44	192139	24380	991830779	363834226	7248046	1089981
45_54	45-54	187804	23681	865226509	308902432	6856095	988276
55_64	55-64	179182	22460	680915318	236780120	5737899	771478
65_	65+	163284	20436	488489850	167133373	4401609	605551
