age_code_filter	age_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
18_24	18-24	European Parliament		178362315106	Facebook	1278	1	106187466	47372345	473016	120367
18_24	18-24	Kialo		729627343834501	Facebook	712	1	22639268	8834541	134063	31059
18_24	18-24	European Greens		141366725876424	Facebook	266	1	20373872	8988836	112653	27389
18_24	18-24	SPD	SPD	47930567748	Facebook	8185	1	19502520	5293438	421047	20174
18_24	18-24	Podemos	Unidas Podemos	269212336568846	Facebook	256	1	16486038	7360385	83556	21191
18_24	18-24	People's Vote UK	People's Vote	748608695327755	Facebook	3305	1	16190121	5797204	179657	33378
18_24	18-24	European Commission		107898832590939	Facebook	69	1	12021401	5546918	47023	12355
18_24	18-24	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	3211	1	11803833	4168093	116791	17278
18_24	18-24	sp.a	sp.a	57253967150	Facebook	224	1	11110603	4515452	48944	9861
18_24	18-24	Best For Britain	Best for Britain	1863944713844924	Facebook	820	1	10890048	4735499	107837	26138
18_24	18-24	CDU	CDU	78502295414	Facebook	3170	1	10873074	2591815	89786	2282
18_24	18-24	Partido Popular	Partido Popular	72249031214	Facebook	849	1	10288679	3851643	59400	8893
18_24	18-24	Greenpeace France		39435457457	Facebook	128	1	10003459	4634612	51581	11561
18_24	18-24	FDP	FDP	21289227249	Facebook	2282	1	9400014	2913942	80721	4349
18_24	18-24	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	185	1	8353513	3348151	19091	3957
18_24	18-24	Conservatives	The Conservative Party	8807334278	Facebook	1809	1	8032404	3017176	88065	12016
18_24	18-24	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	124	1	7966825	3327641	25552	7162
18_24	18-24	Vlaams Belang	Vlaams Belang	56605856504	Facebook	74	1	7753438	3520218	50873	12380
18_24	18-24	România în primul rând	Future Innovation	770704223323599	Facebook	66	1	7628480	3494811	4926	1461
18_24	18-24	PSOE	PSOE	189318235003	Facebook	328	1	6856634	2692487	21635	3649
18_24	18-24	Greenpeace Deutschland		22541752487	Facebook	414	1	6721747	2444229	34466	5088
18_24	18-24	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	119	1	6395571	2780044	53634	12373
18_24	18-24	Ciudadanos	Ciudadanos	74078667754	Facebook	3809	1	5982114	1911629	52790	4743
18_24	18-24	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	83	1	5668933	2590378	11821	2701
18_24	18-24	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	2068	1	5530800	1923096	59376	4832
18_24	18-24	Parlement européen en France	Parlement européen en France	279757933824	Facebook	36	1	5032886	2027443	23149	5832
18_24	18-24	Europees Parlement Nederland		270788920480	Facebook	52	1	4858144	2097268	43467	11025
