age_code_filter	age_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	European Parliament		178362315106	Facebook	1056	1	12775970	5475173	40694	7491
13_17	13-17	Dungeon Defenders		107960282569653	Facebook	292	1	3871038	1603477	10301	1009
13_17	13-17	Collectif : Féministes contre le cyberharcèlement		1026099724099181	Facebook	13	1	2234130	975589	1789	214
13_17	13-17	NPO Zapp		205247699486388	Facebook	2	1	1999998	1000000	1498	600
13_17	13-17	Greens/EFA in the European Parliament		150527751674751	Facebook	43	1	1906018	832416	2145	348
13_17	13-17	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	61	1	1611010	661320	4585	1056
13_17	13-17	Europäisches Parlament - Verbindungsbüro in Deutschland		294494163510	Facebook	38	1	1279305	578822	4154	754
13_17	13-17	Europäisches Parlament Österreich		124468054313069	Facebook	29	1	1136546	474534	3747	1328
13_17	13-17	Caspar the Hat	Emily Doherty	261773154498428	Facebook	90	1	978047	272427	8949	0
13_17	13-17	Knovva Academy		1619172795053683	Facebook	1	1	924000	462000	410	82
13_17	13-17	SPÖ	SPÖ	77393060080	Facebook	268	1	897874	305609	4943	709
13_17	13-17	Die Grünen	Die Grünen	21759893033	Facebook	98	1	884162	298376	5714	1040
13_17	13-17	Make.org	Make.org	122037308191612	Facebook	10	1	831873	347204	1723	551
13_17	13-17	Claudia Gamon	NEOS	447992848717452	Facebook	301	1	743791	251341	5164	728
13_17	13-17	Sportello Amianto Nazionale		1354625791215832	Facebook	2	1	705332	282133	703	141
13_17	13-17	e.on		511324618972373	Facebook	2	1	591048	277992	382	76
13_17	13-17	Jusos Schleswig-Holstein	Jusos Schleswig-Holstein	185490505413	Facebook	31	1	540164	105780	2324	0
13_17	13-17	Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	30	1	531526	242292	1166	294
13_17	13-17	CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	18	1	521782	229761	1960	322
13_17	13-17	Organizace pro pomoc uprchlíkům, z.s.		188235971211201	Facebook	41	1	506742	133493	293	62
13_17	13-17	European Greens		141366725876424	Facebook	29	1	497142	219286	1644	415
13_17	13-17	UNICEF Europe & Central Asia		373536278864	Facebook	1	1	492943	197177	86	0
13_17	13-17	Harald Vilimsky		547597092025909	Facebook	98	1	487462	198670	3785	902
13_17	13-17	Wholesome Culture		1664959567149320	Facebook	7	1	485769	217064	1027	190
13_17	13-17	Adolescent Clothing		172140676309487	Facebook	1	1	483644	193458	110	0
