audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	EE	Estonia	1622	437	1519210	545213	8725	1095
f25_34	female (25-34)	EE	Estonia	1762	446	1368133	511533	7636	966
f18_24	female (18-24)	EE	Estonia	1583	405	1202818	434687	6272	744
m18_24	male (18-24)	EE	Estonia	1468	393	1182315	410449	6357	759
f35_44	female (35-44)	EE	Estonia	1728	438	1060889	383311	6141	759
m35_44	male (35-44)	EE	Estonia	1597	429	950482	340817	5754	693
f45_54	female (45-54)	EE	Estonia	1646	414	812156	286422	4615	466
f55_64	female (55-64)	EE	Estonia	1150	383	633181	218542	3049	176
m45_54	male (45-54)	EE	Estonia	1508	403	560088	194417	3408	342
f65_	female (65+)	EE	Estonia	1018	335	449307	153153	2261	115
m55_64	male (55-64)	EE	Estonia	1066	372	298523	98749	1652	85
m65_	male (65+)	EE	Estonia	973	331	186743	62225	1018	52
f13_17	female (13-17)	EE	Estonia	196	82	176975	68108	307	11
m13_17	male (13-17)	EE	Estonia	180	79	110853	44333	217	8
u35_44	unknown (35-44)	EE	Estonia	1446	383	19787	7366	106	14
u25_34	unknown (25-34)	EE	Estonia	1416	380	12868	4929	65	10
u45_54	unknown (45-54)	EE	Estonia	1315	349	7836	2857	46	5
u18_24	unknown (18-24)	EE	Estonia	1142	311	3936	1428	22	3
u65_	unknown (65+)	EE	Estonia	743	278	2280	809	10	0
u55_64	unknown (55-64)	EE	Estonia	778	291	1952	727	7	0
u13_17	unknown (13-17)	EE	Estonia	147	67	513	213	0	0
