impression_code	impression_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	FI	Finland	1714	430	1393987	0	136914	9
1k_5k	1k - 5k	FI	Finland	1715	582	6267672	1253785	124794	482
5k_10k	5k - 10k	FI	Finland	623	307	3849562	1924973	53726	4140
10k_50k	10k - 50k	FI	Finland	1143	393	25722517	5144606	180360	35531
50k_100k	50k - 100k	FI	Finland	306	139	8122614	4061347	51143	15018
100k_200k	100k - 200k	FI	Finland	197	89	6945642	3472838	54531	13998
200k_500k	200k - 500k	FI	Finland	152	69	7697895	3079164	56186	15534
500k_1m	500k - 1m	FI	Finland	70	37	12112307	6056160	72908	27246
