advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Akcja Demokracja	Akcja Demokracja	277892342334350	Facebook	f	female	PL	Poland	6	1	760073	313654	2545	503
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	f	female	PL	Poland	4	1	697673	284419	2334	921
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	f	female	PL	Poland	5	1	655864	278400	1338	267
European Parliament	European Parliament	178362315106	Facebook	f	female	PL	Poland	1	1	397896	159159	3978	795
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	f	female	PL	Poland	19	1	393110	166610	1453	379
Krzysztof Jurgiel	Overs sp. z o.o.	465990636788016	Facebook	f	female	PL	Poland	6	1	340177	131331	762	140
Elżbieta Łukacijewska	EPL	271399596270991	Facebook	f	female	PL	Poland	10	1	213419	75387	864	162
Bogdan Rzońca	Blue Data Bay Sp. z o.o.	247239865295508	Facebook	f	female	PL	Poland	13	1	129427	31619	343	48
Krzysztof Bosak	Konfederacja KORWiN Braun Liroy Narodowcy	141833139301	Facebook	f	female	PL	Poland	15	1	119076	25180	445	58
Polski Klub Ekologiczny Koło Miejskie w Gliwicach	Maria Wanda Staniszewska	291839444209363	Facebook	f	female	PL	Poland	5	1	111987	26072	259	46
Sylwia Spurek	KW Wiosna Roberta Biedronia 	1967695263556184	Facebook	f	female	PL	Poland	4	1	91943	20191	213	39
KUKIZ'15	Komitet Wyborczy Wyborców Kukiz'15	328170794051845	Facebook	f	female	PL	Poland	20	1	81480	26343	296	36
Amnesty International Polska	Amnesty International Polska	57544755889	Facebook	f	female	PL	Poland	3	1	76918	17676	249	50
Jerzy Buzek	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	69153026654	Facebook	f	female	PL	Poland	11	1	76800	19849	284	37
Front Europejski	Medium: agencja reklamowa	590514511295079	Facebook	f	female	PL	Poland	6	1	72932	15007	191	34
Przemysław Przybylski	Komitet Wyborczy Prawo i Sprawiedliwość	256850261180940	Facebook	f	female	PL	Poland	4	1	72066	29577	187	68
Michał Boni	KKW Koalicja Europejska PO PSL SLD .N Zieloni	693499534003775	Facebook	f	female	PL	Poland	3	1	61847	12369	68	9
Joachim Brudziński	Joachim Brudziński	722625777782250	Facebook	f	female	PL	Poland	5	1	59633	11927	62	0
Sven Zagała	KW Wiosna Roberta Biedronia	2215190752031133	Facebook	f	female	PL	Poland	7	1	56160	11192	158	21
Włodzimierz Cimoszewicz. Europa i Konstytucja.	KKW Koalicja Europejska PO PSL SLD .N Zieloni	1945383395767575	Facebook	f	female	PL	Poland	4	1	53052	11803	222	68
Pokonaj Raka Piersi	Katarzyna Karolina Stachowicz	847950485383153	Facebook	f	female	PL	Poland	1	1	49999	9999	116	23
Tomasz Latos	KW Prawo i Sprawiedliwość	308684629246305	Facebook	f	female	PL	Poland	1	1	49998	9999	116	23
Karol Karski	Komitet Wyborczy Prawa i Sprawiedliwości	612725748801524	Facebook	f	female	PL	Poland	8	1	46943	10377	137	17
Marek Balt	KKW Koalicja Europejska PO PSL SLD  .N Zieloni	398824790221548	Facebook	f	female	PL	Poland	5	1	46236	11232	61	0
Poseł Jakub Rutnicki	KKW Koalicja Europejska PO PSL SLD .N Zieloni	222141244609992	Facebook	f	female	PL	Poland	4	1	44759	12436	211	42
