region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
attica_region	Attica (region)	EL	Greece	2245	321	43927552	16970029	207352	32430
central_greece_region	Central Greece (region)	EL	Greece	1685	247	598210	177149	5200	143
central_macedonia	Central Macedonia	EL	Greece	1589	259	8394860	3127698	33994	4498
crete	Crete	EL	Greece	1428	215	2465321	791519	11617	1083
eastern_macedonia_and_thrace	Eastern Macedonia and Thrace	EL	Greece	1393	221	1348251	430361	6462	318
epirus_region	Epirus (region)	EL	Greece	1425	220	1088932	247418	6262	88
ionian_islands_region	Ionian Islands (region)	EL	Greece	1343	208	243421	94031	1672	124
northern_aegean	Northern Aegean	EL	Greece	1313	208	375879	129281	2272	128
peloponnese_region	Peloponnese (region)	EL	Greece	1486	222	977553	302082	4698	135
southern_aegean	Southern Aegean	EL	Greece	1460	217	4050643	1638389	19051	3651
thessaly	Thessaly	EL	Greece	1468	229	1911097	624796	6034	879
western_greece	Western Greece	EL	Greece	1509	233	2184924	692405	12180	781
western_macedonia	Western Macedonia	EL	Greece	1356	206	527332	190025	1691	170
