day_code_filter	day_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d130	2019-05-10	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	25	1	4033996	1747271	8271	1785
d130	2019-05-10	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	80	1	3746141	1650290	6546	1351
d130	2019-05-10	European Greens	European Greens	141366725876424	Facebook	41	1	2803155	1259750	19305	4700
d130	2019-05-10	România în primul rând	Future Innovation	770704223323599	Facebook	46	1	2573029	1171628	2712	619
d130	2019-05-10	FDP	FDP	21289227249	Facebook	832	1	2395911	716650	23971	1135
d130	2019-05-10	ČSSD	ČSSD	111041662264882	Facebook	801	1	2274199	392000	10725	2048
d130	2019-05-10	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	195	1	2130840	876793	8828	1584
d130	2019-05-10	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	100	1	2067195	863191	6769	1606
d130	2019-05-10	sp.a	sp.a	57253967150	Facebook	196	1	2042062	661339	9381	1436
d130	2019-05-10	European Parliament		178362315106	Facebook	30	1	1885555	893848	10908	2437
d130	2019-05-10	Parlement européen en France	Parlement européen en France	279757933824	Facebook	72	1	1754982	673750	7182	1900
d130	2019-05-10	BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	205	1	1638159	488962	10512	1485
d130	2019-05-10	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	696	1	1412570	474998	19878	2189
d130	2019-05-10	SPÖ	SPÖ	77393060080	Facebook	537	1	1341355	441272	11553	1572
d130	2019-05-10	Fidesz	Fidesz	9844779306	Facebook	13	1	1299993	625000	4333	2166
d130	2019-05-10	Partito Democratico		77034286895	Facebook	78	1	1264049	550546	4275	827
d130	2019-05-10	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	42	1	1214963	518082	2741	686
d130	2019-05-10	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	16	1	1157134	534923	2050	808
d130	2019-05-10	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	133	1	1133622	415333	6589	540
d130	2019-05-10	The Brexit Party	The Brexit Party	230416667843105	Facebook	12	1	1013023	472500	18247	5352
d130	2019-05-10	DIE LINKE	DIE LINKE	47694585682	Facebook	199	1	992609	336588	6146	236
d130	2019-05-10	PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	11	1	946163	415166	1058	198
d130	2019-05-10	CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	96	1	925403	430596	4169	749
d130	2019-05-10	Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	6	1	916662	403333	12192	2438
d130	2019-05-10	Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	232	1	907348	351277	6632	1757
