advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	f	Facebook	423	1	90001577	40438000	498377	114100
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	f	Facebook	5721	1	50215279	13849000	692179	35500
CDU	CDU	78502295414	Facebook	f	Facebook	14114	1	43134886	9363000	1416886	4000
European Commission	European Commission	107898832590939	Facebook	f	Facebook	93	1	36620907	17045000	117607	30100
European Greens	European Greens	141366725876424	Facebook	f	Facebook	81	1	28017919	12753000	230419	54300
Fidesz	Fidesz	9844779306	Facebook	f	Facebook	123	1	27246877	11961000	137053	58652
SPD	SPD	47930567748	Facebook	f	Facebook	4748	1	24803252	6227000	530452	14700
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f	Facebook	4010	1	23541990	5994000	553009	25805
Avaaz	Avaaz	8340223883	Facebook	f	Facebook	120	1	21797880	9370000	123280	30800
FDP	FDP	21289227249	Facebook	f	Facebook	1952	1	19999048	5960000	229248	8600
Best For Britain	Best for Britain	1863944713844924	Facebook	f	Facebook	94	1	18192906	7587000	145928	32979
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	f	Facebook	60	1	17493940	7810000	119584	26615
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	f	Facebook	222	1	16293778	6648000	249464	60173
Open Vld	Open Vld	53668151866	Facebook	f	Facebook	118	1	14990882	6327000	162382	40200
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	f	Facebook	62	1	14006938	6139000	44279	11096
Gouvernement	Gouvernement	392341217527576	Facebook	f	Facebook	40	1	13899960	6150000	89260	19600
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	f	Facebook	295	1	13567705	5391000	70905	12500
Ciudadanos	Ciudadanos	74078667754	Facebook	f	Facebook	147	1	13498853	5686000	150353	38300
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	f	Facebook	59	1	12381941	5434000	75766	19012
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	f	Facebook	147	1	12144853	5245000	33941	14395
Moderaterna	Moderaterna	7719591155	Facebook	f	Facebook	143	1	11486857	4584000	183108	43942
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	f	Facebook	45	1	11358955	5060000	16925	3508
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	f	Facebook	127	1	10208873	4247000	89303	21639
Ciudadanos Andalucía	Ciudadanos	522336804500176	Facebook	f	Facebook	306	1	10163694	3621000	102094	17800
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	f	Facebook	45	1	10135955	4419000	143655	44700
