platform_code	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
g	Google	37965	195	5687940000	537110000	27248350	687400
f	Facebook	92258	6506	2224283742	810431000	18497135	2909496
