advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	18_24	18-24	1276	1	105816272	47219126	472151	119749
Kialo		729627343834501	Facebook	18_24	18-24	644	1	21955714	8640739	130498	30585
SPD	SPD	47930567748	Facebook	18_24	18-24	7580	1	18348921	5031299	390045	19688
Podemos	Unidas Podemos	269212336568846	Facebook	18_24	18-24	255	1	16477534	7358684	83539	21191
People's Vote UK	People's Vote	748608695327755	Facebook	18_24	18-24	3299	1	16167284	5791592	179573	33378
European Commission		107898832590939	Facebook	18_24	18-24	69	1	12021401	5546918	47023	12355
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	18_24	18-24	3210	1	11521469	4120874	114123	16616
Best For Britain	Best for Britain	1863944713844924	Facebook	18_24	18-24	820	1	10890118	4735530	107837	26138
CDU	CDU	78502295414	Facebook	18_24	18-24	3170	1	10873074	2591815	89786	2282
sp.a	sp.a	57253967150	Facebook	18_24	18-24	205	1	10367862	4151303	43409	9025
Partido Popular	Partido Popular	72249031214	Facebook	18_24	18-24	849	1	10288679	3851643	59400	8893
Greenpeace France		39435457457	Facebook	18_24	18-24	128	1	9654596	4397509	48327	11137
European Greens	European Greens	141366725876424	Facebook	18_24	18-24	88	1	9066019	4068932	51936	13694
FDP	FDP	21289227249	Facebook	18_24	18-24	2136	1	8361788	2560738	75139	3658
Conservatives	The Conservative Party	8807334278	Facebook	18_24	18-24	1809	1	8031433	3016951	87849	11962
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	18_24	18-24	110	1	7568453	3138835	23146	6427
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	18_24	18-24	171	1	7068585	2915212	17266	3494
Vlaams Belang	Vlaams Belang	56605856504	Facebook	18_24	18-24	66	1	7039156	3199528	45734	10242
PSOE	PSOE	189318235003	Facebook	18_24	18-24	328	1	6856634	2692487	21635	3649
Greenpeace Deutschland		22541752487	Facebook	18_24	18-24	408	1	6561196	2374014	32694	4625
România în primul rând	Future Innovation	770704223323599	Facebook	18_24	18-24	66	1	6459618	2967937	4636	1243
Ciudadanos	Ciudadanos	74078667754	Facebook	18_24	18-24	3809	1	5982114	1911629	52790	4743
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	18_24	18-24	106	1	5754109	2480028	50415	11515
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	18_24	18-24	77	1	5475569	2496033	11563	2664
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	18_24	18-24	2040	1	5383669	1850285	57105	4670
