advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Lucia Gurbáľová	KDH	281656152765874	Facebook	SK	Slovakia	4	1	349980	129996	795	100
Erika Jurinová	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	467066839986458	Facebook	SK	Slovakia	6	1	349976	99996	1793	300
Peter Puškár	Puskar Peter	299027620531773	Facebook	SK	Slovakia	50	1	322950	78000	5350	100
Most-Híd (Híd-Most)	Most-Híd (Híd-Most)	353195602108	Facebook	SK	Slovakia	19	1	320257	93806	1877	0
Lucia Rennerová - kandidátka na europoslankyňu	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	385980928867138	Facebook	SK	Slovakia	8	1	319909	69983	791	0
Marcel Vrchota		182696648478744	Facebook	SK	Slovakia	29	1	302971	60000	2664	0
USA and Slovakia		167499746617461	Facebook	SK	Slovakia	2	1	299998	150000	176	0
Martin Šmilňák	KDH	279200712281963	Facebook	SK	Slovakia	10	1	285976	65994	1389	100
Dominik Drdul - kandidát do Eurovolieb, Oľano	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	306217430051254	Facebook	SK	Slovakia	8	1	284991	95999	1191	100
Igor Dušenka - kandidát do Európskeho parlamentu	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	1160570887436415	Facebook	SK	Slovakia	8	1	279992	65000	1992	300
Antonio Parziale - Váš hlas v Európe	Európska Demokratická Strana	1485999664946680	Facebook	SK	Slovakia	14	1	251985	82999	1386	0
Matúš Bystriansky - kandidát na europoslanca	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	1650953941825108	Facebook	SK	Slovakia	2	1	249852	109970	996	199
Martin Lancz - kandidát na europoslanca 2019	 Švec František	2671787962847811	Facebook	SK	Slovakia	17	1	246968	53997	1682	0
Ábel Ravasz	Ábel Ravasz	978554185546219	Facebook	SK	Slovakia	8	1	234991	55999	791	0
Lucia Kleštincová	EUpositive.sk	1933440166748185	Facebook	SK	Slovakia	7	1	232059	85413	997	99
Ján Rudolf - eurofondy, rady a tipy		1032120240148860	Facebook	SK	Slovakia	14	1	224954	56993	1385	0
Erik Tomáš	Erik Tomáš	256241975019809	Facebook	SK	Slovakia	16	1	219983	73999	1583	0
Lucia Greškovitsová - kandidátka do Európskeho parlamentu	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	410166249565947	Facebook	SK	Slovakia	6	1	219973	49995	593	0
Ondrej Prostredník • Prostredník medzi Vami a Európou	Progresívne Slovensko	951009345100113	Facebook	SK	Slovakia	17	1	214951	50994	1681	0
Magyar Kereszténydemokrata Szövetség	Magyar Kereszténydemokrata Szövetség	124771041038345	Facebook	SK	Slovakia	24	1	201975	66999	2375	0
Zastúpenie Európskej komisie na Slovensku		475005065849814	Facebook	SK	Slovakia	1	1	199999	100000	99	0
NAJ - politická strana odborníkov a etiky		187498825018596	Facebook	SK	Slovakia	15	1	199979	60998	1484	0
Penta Investments		1655338381438249	Facebook	SK	Slovakia	1	1	199930	99965	498	99
Marián Čaučík	KDH	168054920212177	Facebook	SK	Slovakia	10	1	189989	68000	1390	99
Michal Považan - kandidát do Európskeho parlamentu za KDH		1183320988494283	Facebook	SK	Slovakia	40	1	173959	38999	3959	0
Katarina Roth Nevedalova	Roth Nevedalova Katarina	237493046280813	Facebook	SK	Slovakia	8	1	171950	36989	791	0
Zuzana Csadyová	Most-Híd (Híd-Most)	298887710803466	Facebook	SK	Slovakia	6	1	170959	39984	593	0
Tárnok Balázs	Tárnok Balázs	831444983872265	Facebook	SK	Slovakia	6	1	161094	34743	494	1
PRÁVO A SPRAVODLIVOSŤ	Puskar Peter	233192996736186	Facebook	SK	Slovakia	5	1	159994	31999	894	99
Karol Farkašovský	Farkašovský Karol	239398722928942	Facebook	SK	Slovakia	5	1	155988	30998	494	0
Karol Konárik		496532343769495	Facebook	SK	Slovakia	3	1	149996	29999	696	100
Milan Potocký	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	1977234279243101	Facebook	SK	Slovakia	3	1	149878	29976	695	99
Agócs Attila - EP képviselőjelölt / kandidát na poslanca EP	Most-Híd (Híd-Most)	604260263384971	Facebook	SK	Slovakia	2	1	149499	59801	596	99
Bugár Béla	Most-Híd (Híd-Most)	945989972108826	Facebook	SK	Slovakia	2	1	149114	59596	196	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	SK	Slovakia	54	1	137732	61935	708	150
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	SK	Slovakia	49	1	112877	51132	204	55
Rastislav Masnyk	Sme rodina	421272045293538	Facebook	SK	Slovakia	3	1	109937	24988	296	0
Pegas		278650775487015	Facebook	SK	Slovakia	1	1	99999	50000	499	100
Karol Galek stráži vaše účty za energie		234030556972158	Facebook	SK	Slovakia	2	1	99998	20000	198	0
Alojz Baránik Právo a Sloboda		1042738452407817	Facebook	SK	Slovakia	2	1	99998	19999	198	0
Monika Beňová		253595649968	Facebook	SK	Slovakia	2	1	99998	20000	198	0
Liga za ľudské práva / Human Rights League		810794665738940	Facebook	SK	Slovakia	2	1	99998	20000	198	0
Pirátska strana		565346557262681	Facebook	SK	Slovakia	2	1	99998	19999	176	0
setri.sk		156171952294	Facebook	SK	Slovakia	2	1	99998	20000	198	0
Peter Pellegrini		403027089864701	Facebook	SK	Slovakia	2	1	99997	19999	197	0
TREND - Týždenník o ekonomike a podnikaní		103630647170	Facebook	SK	Slovakia	2	1	99997	19999	197	0
